Pallet: "pallet-balances", Extrinsic: "set_balance", Lowest values: [], Highest values: [], Steps: [10], Repeat: 10
u,e,extrinsic_time,storage_root_time
1,1000,2510905,136400
1,1000,2934506,398501
1,1000,2921006,178500
1,1000,3011706,183500
1,1000,9208120,156800
1,1000,3166607,215800
1,1000,2859706,160600
1,1000,2729806,163300
1,1000,3028406,177301
1,1000,4309909,147501
100,1000,2623005,168201
100,1000,2918807,147000
100,1000,2823406,147301
100,1000,2855506,137601
100,1000,2655905,136801
100,1000,2513506,127200
100,1000,2690605,134301
100,1000,2562306,135400
100,1000,3296708,157100
100,1000,3234007,159801
199,1000,8143118,154900
199,1000,2628806,165600
199,1000,3034906,147601
199,1000,2612506,137800
199,1000,2849506,158201
199,1000,3032207,180700
199,1000,2720006,144801
199,1000,2905606,151400
199,1000,2849706,175400
199,1000,2890106,164501
298,1000,2883407,152700
298,1000,2636605,139301
298,1000,2860407,168300
298,1000,2929906,147901
298,1000,7129515,167901
298,1000,2957506,149500
298,1000,2826406,156501
298,1000,2775006,163200
298,1000,3005606,135601
298,1000,3040507,212600
397,1000,2974606,162601
397,1000,2810906,223601
397,1000,7186016,190500
397,1000,2836507,155700
397,1000,2614006,189900
397,1000,3336907,146801
397,1000,3167307,155000
397,1000,3031607,156500
397,1000,2807506,156501
397,1000,2648306,146400
496,1000,2966507,173300
496,1000,2996907,136500
496,1000,2385106,125900
496,1000,2989407,227200
496,1000,2766806,139000
496,1000,2787306,163600
496,1000,2677406,163000
496,1000,3081407,200500
496,1000,2900907,165600
496,1000,2764406,154800
595,1000,3070407,157300
595,1000,2971806,178201
595,1000,2717706,142600
595,1000,2843806,191500
595,1000,2879306,150501
595,1000,2985406,158201
595,1000,2619406,178701
595,1000,2918706,150401
595,1000,6717515,172101
595,1000,2802506,448601
694,1000,2613306,146601
694,1000,2633206,150400
694,1000,2657006,129900
694,1000,2817207,146100
694,1000,2991407,161900
694,1000,2682806,172701
694,1000,3143307,161700
694,1000,2807206,156800
694,1000,8563919,757702
694,1000,2894506,163401
793,1000,3031107,194500
793,1000,3088107,165001
793,1000,3108007,186600
793,1000,2657506,224601
793,1000,2934707,165600
793,1000,2896407,143400
793,1000,2840206,196300
793,1000,2590706,199601
793,1000,7167416,247201
793,1000,2538806,161800
892,1000,3078607,157001
892,1000,2851506,222501
892,1000,2914206,210901
892,1000,3494908,167701
892,1000,2814507,159800
892,1000,2612306,193800
892,1000,3329308,271701
892,1000,2901607,289601
892,1000,2909307,284500
892,1000,3147907,178400
991,1000,2654306,146000
991,1000,2961907,169800
991,1000,2727906,153800
991,1000,10183923,167300
991,1000,2885206,197001
991,1000,2761206,159301
991,1000,2819206,146800
991,1000,2758506,149800
991,1000,2355605,135301
991,1000,2645506,152300
1000,2,2812006,152800
1000,2,2768807,155200
1000,2,2411605,139101
1000,2,3137507,192301
1000,2,2773107,152900
1000,2,2965606,210601
1000,2,2878807,180300
1000,2,3071807,159001
1000,2,2631106,135200
1000,2,2742206,146501
1000,101,2727606,172400
1000,101,2460406,132800
1000,101,2769807,138400
1000,101,2759206,151501
1000,101,2964007,335401
1000,101,2906507,149200
1000,101,2787106,146501
1000,101,3176608,169200
1000,101,3048007,178301
1000,101,2722306,152900
1000,200,6067014,166500
1000,200,3101407,184801
1000,200,2764306,251401
1000,200,2700606,144201
1000,200,3318208,148100
1000,200,2994007,192400
1000,200,2638807,136900
1000,200,2523006,138801
1000,200,2853806,155601
1000,200,2664906,208600
1000,299,2701306,300901
1000,299,2494705,145501
1000,299,2828707,143100
1000,299,2835207,221101
1000,299,2759506,155900
1000,299,2981507,161101
1000,299,2896207,143800
1000,299,3376008,173500
1000,299,2945907,155100
1000,299,2739506,137100
1000,398,2908007,185601
1000,398,2773107,155600
1000,398,2900807,256300
1000,398,2474806,184800
1000,398,2482606,163400
1000,398,2326706,130300
1000,398,2560106,181100
1000,398,2745107,160800
1000,398,3154708,218700
1000,398,2785406,146301
1000,497,3651909,4509711
1000,497,2826406,175601
1000,497,2755407,156900
1000,497,2638806,151900
1000,497,3090307,153001
1000,497,2915807,158200
1000,497,2565506,265401
1000,497,2888507,170901
1000,497,2596006,209800
1000,497,2659106,133500
1000,596,2837907,139700
1000,596,2487906,134100
1000,596,2780306,147001
1000,596,3114908,145300
1000,596,2947107,145501
1000,596,2998907,167900
1000,596,2602206,186501
1000,596,2900606,159501
1000,596,3006307,151700
1000,596,2567806,168301
1000,695,3055307,146300
1000,695,2921107,147601
1000,695,2602106,154901
1000,695,3117907,162301
1000,695,2973107,187600
1000,695,3250307,4113310
1000,695,2954907,172101
1000,695,2996907,150401
1000,695,2939707,186001
1000,695,2986007,163401
1000,794,3090407,147401
1000,794,2738207,253501
1000,794,2535806,161100
1000,794,2817106,146501
1000,794,3489608,154601
1000,794,3108907,170401
1000,794,3160108,155100
1000,794,2942207,158100
1000,794,2755907,185000
1000,794,2690506,143101
1000,893,2918707,197600
1000,893,2853007,194700
1000,893,2940207,159101
1000,893,2952407,158600
1000,893,2708906,151401
1000,893,2664707,158600
1000,893,2395205,142801
1000,893,2681106,175101
1000,893,2863707,171900
1000,893,2743406,159201
1000,992,3303008,202601
1000,992,2626607,152400
1000,992,2840907,180000
1000,992,3079108,170700
1000,992,2750207,148100
1000,992,2830907,164500
1000,992,2944307,159201
1000,992,2652906,175901
1000,992,2761106,308001
1000,992,2776307,171500
