Pallet: "pallet-balances", Extrinsic: "transfer", Lowest values: [], Highest values: [], Steps: [10], Repeat: 10
u,e,extrinsic_time,storage_root_time
1,1000,26788806,3218300
1,1000,26340305,3569001
1,1000,21515905,2470100
1,1000,27085606,2212100
1,1000,19558005,2724900
1,1000,20456005,2465600
1,1000,24718106,2702501
1,1000,21444405,2501201
1,1000,25093506,2531300
1,1000,24453005,2359301
100,1000,24568107,2554400
100,1000,26470207,2624400
100,1000,24374406,2482700
100,1000,25075807,2420600
100,1000,22084706,2651701
100,1000,23979406,2329701
100,1000,24365607,2255400
100,1000,21369905,2286901
100,1000,22400306,2302001
100,1000,23768107,2590601
199,1000,22153307,2569800
199,1000,25547808,2451100
199,1000,22162107,2517900
199,1000,23830507,2632601
199,1000,27262908,2744801
199,1000,23836707,2979701
199,1000,23684307,2565101
199,1000,22311107,2560100
199,1000,27539109,2736501
199,1000,22206708,2291800
298,1000,26608109,2515201
298,1000,23632808,2442401
298,1000,22367908,2410600
298,1000,21365807,2295101
298,1000,20847307,2317601
298,1000,21355707,2379101
298,1000,23269908,2700001
298,1000,26486109,2208601
298,1000,20697507,2584101
298,1000,21495608,2530701
397,1000,29529711,2453901
397,1000,22687309,2319101
397,1000,24958709,2633201
397,1000,22667809,2525901
397,1000,23778009,2352801
397,1000,27297911,2581701
397,1000,24399410,2305401
397,1000,20259308,2607601
397,1000,24377110,3560501
397,1000,27787611,2364601
496,1000,20154408,316700
496,1000,21334809,228500
496,1000,23183509,176300
496,1000,24418710,233900
496,1000,19375909,217400
496,1000,22166010,172800
496,1000,18895708,198400
496,1000,17186708,211800
496,1000,18547908,177800
496,1000,20805010,175800
595,1000,23312511,2593101
595,1000,21167110,2444101
595,1000,25111111,2527401
595,1000,23100510,2808102
595,1000,20435710,2666201
595,1000,24734311,2948702
595,1000,27258613,2509801
595,1000,21384710,2490201
595,1000,26334913,2571702
595,1000,25029112,2415901
694,1000,21473510,170300
694,1000,20637510,165301
694,1000,17021109,178500
694,1000,24217713,303100
694,1000,18948210,152400
694,1000,16030708,220600
694,1000,20292310,161600
694,1000,19053110,193400
694,1000,19068210,145700
694,1000,19854410,397000
793,1000,22237712,171400
793,1000,18909310,159300
793,1000,20412711,380501
793,1000,18658511,153700
793,1000,18751810,244900
793,1000,21292412,200900
793,1000,21789612,244200
793,1000,20843312,181300
793,1000,21363112,191900
793,1000,20998612,456400
892,1000,22954113,2251602
892,1000,19316512,2601501
892,1000,22758613,2292702
892,1000,19190912,2389801
892,1000,19140611,2460202
892,1000,23747814,2336602
892,1000,23718714,2305602
892,1000,22583614,2452401
892,1000,23305114,2386101
892,1000,23896915,2555501
991,1000,20892013,2431602
991,1000,22919914,2322302
991,1000,21393513,2387701
991,1000,22725714,2416801
991,1000,21587214,2246601
991,1000,26722117,2695202
991,1000,22930615,2518602
991,1000,22604815,2890202
991,1000,21438813,2621002
991,1000,22848214,2253502
1000,2,23932416,2561702
1000,2,24870916,2539702
1000,2,31540321,2614201
1000,2,23999316,2446401
1000,2,32734722,2743501
1000,2,29623319,2356402
1000,2,19592013,2442401
1000,2,24111617,2395901
1000,2,26380218,2511302
1000,2,19026213,2392302
1000,101,21172514,2328602
1000,101,22867116,2481602
1000,101,22116815,2431902
1000,101,24953018,2393301
1000,101,24375217,2356102
1000,101,25690018,2319502
1000,101,21854915,2514902
1000,101,26261619,3129502
1000,101,28415620,2540502
1000,101,23072417,2483902
1000,200,24809118,2403702
1000,200,22604716,2692602
1000,200,22773817,2242901
1000,200,29846922,2755602
1000,200,25237619,2542002
1000,200,28913522,2321001
1000,200,21692916,2411102
1000,200,25307519,2468002
1000,200,23396518,2367602
1000,200,21000116,2532602
1000,299,21727017,2855402
1000,299,19603616,2225901
1000,299,21439416,2338902
1000,299,20602416,2559802
1000,299,22578617,2424802
1000,299,24523519,2844102
