Pallet: "pallet-balances", Extrinsic: "transfer_best_case", Lowest values: [], Highest values: [], Steps: [10], Repeat: 10
u,e,extrinsic_time,storage_root_time
1,1000,2744903,129900
1,1000,3048004,135500
1,1000,2688103,126300
1,1000,3010403,147700
1,1000,2928203,186400
1,1000,2845703,142500
1,1000,10413811,134901
1,1000,3004903,128401
1,1000,3058803,134601
1,1000,2935904,144500
100,1000,2939704,146600
100,1000,9696111,147300
100,1000,2810804,139000
100,1000,2844903,143500
100,1000,3656404,145000
100,1000,2956503,152300
100,1000,6951608,153700
100,1000,2935903,153901
100,1000,3042703,174701
100,1000,2890103,151600
199,1000,6946408,204400
199,1000,2694603,138401
199,1000,3063903,150100
199,1000,2909603,305800
199,1000,3079203,165701
199,1000,3103003,148901
199,1000,2408703,129400
199,1000,2860703,153400
199,1000,3255604,165700
199,1000,2889703,156100
298,1000,2681503,142800
298,1000,2911003,129501
298,1000,3120804,139300
298,1000,2828203,133900
298,1000,3171304,143400
298,1000,2434803,117900
298,1000,2525903,127200
298,1000,2708503,166601
298,1000,2664103,126000
298,1000,3101604,426700
397,1000,2773903,136901
397,1000,4449006,144600
397,1000,3166604,124900
397,1000,3262304,141500
397,1000,3015903,204600
397,1000,3188004,222300
397,1000,2717803,256001
397,1000,2973903,241901
397,1000,6866109,132800
397,1000,9474112,145600
496,1000,2452503,121700
496,1000,2781104,160400
496,1000,2950503,132000
496,1000,2776104,123700
496,1000,2749103,135300
496,1000,2911904,139700
496,1000,2715004,190500
496,1000,2694903,130100
496,1000,2933104,177400
496,1000,3034304,159800
595,1000,2734504,138700
595,1000,5060606,152500
595,1000,2814004,144900
595,1000,3212904,130300
595,1000,3071704,138200
595,1000,2920103,139501
595,1000,2701303,127900
595,1000,3025204,205000
595,1000,2480003,128301
595,1000,3075204,136300
694,1000,2695304,121300
694,1000,3158204,145300
694,1000,3183604,134700
694,1000,2900604,137300
694,1000,3018804,127800
694,1000,3333604,260501
694,1000,2807703,122500
694,1000,2835104,175500
694,1000,2694303,159600
694,1000,7084309,143100
793,1000,3096804,194700
793,1000,2928104,137200
793,1000,2668204,116100
793,1000,2912004,131000
793,1000,2867804,131700
793,1000,2608704,143400
793,1000,2876003,4213306
793,1000,2968504,171100
793,1000,3045404,132400
793,1000,2760103,124900
892,1000,2911504,155800
892,1000,2879904,147700
892,1000,2760004,138100
892,1000,2896004,203600
892,1000,3013204,234101
892,1000,2565304,134900
892,1000,2639903,157901
892,1000,2606104,138000
892,1000,2996304,141200
892,1000,2760204,185900
991,1000,2913504,196601
991,1000,8843012,152100
991,1000,2798404,144700
991,1000,2884004,146201
991,1000,2716504,150000
991,1000,3125704,156100
991,1000,2613404,154300
991,1000,3031005,160000
991,1000,2802204,159900
991,1000,3113804,150901
1000,2,3345605,242200
1000,2,2790004,161500
1000,2,2812804,153000
1000,2,11662716,145800
1000,2,9576513,171700
1000,2,2945404,156000
1000,2,2857004,141200
1000,2,2796004,144700
1000,2,8409712,176700
1000,2,2776003,179301
1000,101,3166305,194200
1000,101,3048605,173800
1000,101,3055104,265400
1000,101,8547912,135700
1000,101,2790304,159401
1000,101,3347004,182601
1000,101,7237511,158400
1000,101,2837304,155800
1000,101,2660804,172100
1000,101,3560705,240501
1000,200,8673912,150800
1000,200,2765104,142800
1000,200,9504414,155000
1000,200,2833804,143300
1000,200,3357205,160300
1000,200,2743904,139701
1000,200,2908104,153800
1000,200,2931204,167200
1000,200,2740204,140800
1000,200,2844404,197800
1000,299,2986204,146200
1000,299,3054004,153701
1000,299,2658403,140801
1000,299,2515304,152500
1000,299,2856005,133900
1000,299,2822204,163200
1000,299,2836204,147401
1000,299,2916704,146801
1000,299,2636704,136200
1000,299,2834504,169100
1000,398,2967905,201200
1000,398,2748304,137701
1000,398,3107605,154400
1000,398,2997005,168100
1000,398,2649104,156400
1000,398,3014304,173100
1000,398,2693104,144200
1000,398,2781804,165401
1000,398,2984704,158800
1000,398,2707904,228401
1000,497,3782706,4193806
1000,497,2817904,144400
1000,497,3166405,148400
1000,497,3157805,158900
1000,497,2987204,198801
1000,497,2936005,168700
1000,497,2569704,178100
1000,497,5260108,188500
1000,497,3220605,219000
1000,497,3061205,241100
1000,596,3031304,173800
1000,596,2986605,152300
1000,596,2826605,146300
1000,596,2682304,132701
1000,596,3065205,189700
1000,596,2878805,181100
1000,596,3284505,172700
1000,596,2720404,139500
1000,596,2970305,142200
1000,596,3039004,188801
1000,695,2664904,142700
1000,695,8712013,162700
1000,695,2852804,180000
1000,695,2724705,142600
1000,695,3203005,151300
1000,695,9916215,146101
1000,695,2880505,133300
1000,695,2895704,192100
1000,695,2954005,156600
1000,695,3217305,412001
1000,794,3014705,140900
1000,794,2817505,172400
1000,794,3420706,238900
1000,794,3120505,145801
1000,794,3046905,143500
1000,794,2794305,148300
1000,794,2417904,128000
1000,794,3017605,156700
1000,794,2932204,140001
1000,794,2956604,188201
1000,893,2921605,155400
1000,893,2813504,139501
1000,893,2900505,150100
1000,893,3355405,153800
1000,893,3015005,184801
1000,893,3016405,158500
1000,893,3156705,182801
1000,893,2588004,145800
1000,893,2903804,165601
1000,893,3002205,157900
1000,992,2749104,145500
1000,992,3098605,160801
1000,992,2850405,146600
1000,992,3165105,168500
1000,992,3133405,162700
1000,992,3060205,151000
1000,992,3140305,172300
1000,992,3279706,155100
1000,992,2920305,151000
1000,992,2726804,152500
