Pallet: "pallet-identity", Extrinsic: "clear_identity", Lowest values: [], Highest values: [], Steps: [10], Repeat: 10
r,s,x,extrinsic_time,storage_root_time
1,100,100,3457062,4930089
1,100,100,3383161,5333796
1,100,100,3370061,5525999
1,100,100,7920143,1136120
1,100,100,4196175,1021119
1,100,100,8226247,967317
1,100,100,3411061,5053291
1,100,100,7855641,1013818
1,100,100,3428661,5351696
1,100,100,3733367,5092791
5,100,100,3794468,5415397
5,100,100,3721867,5427397
5,100,100,3551364,5277894
5,100,100,3489062,5257293
5,100,100,8084844,1066319
5,100,100,3557463,5393696
5,100,100,3770167,5102990
5,100,100,3657665,5102590
5,100,100,3637265,5289393
5,100,100,3666764,5392396
9,100,100,3602364,5339494
9,100,100,3744966,6662918
9,100,100,3608164,5102389
9,100,100,8387447,970617
9,100,100,3578963,4990888
9,100,100,3613263,5060589
9,100,100,3567863,5361794
9,100,100,3485061,5115290
9,100,100,3361559,4966886
9,100,100,3645563,4974087
13,100,100,3489860,6004405
13,100,100,3488961,1054018
13,100,100,3450060,5052887
13,100,100,3606363,5066887
13,100,100,7701034,1103219
13,100,100,3371658,6893119
13,100,100,3264156,5438493
13,100,100,3348758,5444693
13,100,100,3457160,5038286
13,100,100,3201554,5185889
17,100,100,3796464,8533246
17,100,100,3821365,5066387
17,100,100,3342257,5470893
17,100,100,3901766,1061518
17,100,100,3566661,5389691
17,100,100,3493059,5229589
17,100,100,3540059,5379891
17,100,100,3832164,4816782
17,100,100,3554460,5364491
17,100,100,3612261,5100885
21,100,100,10758980,4845681
21,100,100,3388456,5387290
21,100,100,8363039,1981833
21,100,100,3662861,5068085
21,100,100,3671161,5105885
21,100,100,3586760,5636193
21,100,100,7975932,1249820
21,100,100,3575859,5529191
21,100,100,3638460,5608792
21,100,100,8385237,1134518
25,100,100,8740743,1687528
25,100,100,7910429,1061917
25,100,100,7972130,1078618
25,100,100,3606059,5486089
25,100,100,3669359,5336787
25,100,100,3604258,5058582
25,100,100,5562690,1131618
25,100,100,3531157,5527189
25,100,100,3789060,6275401
25,100,100,3737260,5487188
29,100,100,3738760,1027916
29,100,100,3754960,5090881
29,100,100,8296631,1095017
29,100,100,3776260,5476686
29,100,100,3573256,1101918
29,100,100,3385054,5317983
29,100,100,3428354,5056079
29,100,100,8124827,1178018
29,100,100,3504454,5373384
29,100,100,3569355,5417484
33,100,100,3140249,5368283
33,100,100,3601756,5391983
33,100,100,3647556,5090778
33,100,100,8170726,1156517
33,100,100,8483330,1783528
33,100,100,7996522,1108117
33,100,100,3804858,1080817
33,100,100,3599154,5080877
33,100,100,3679456,5130878
33,100,100,3967660,1067716
37,100,100,9449942,1044115
37,100,100,3823357,5239578
37,100,100,3626754,5445082
37,100,100,7979519,1053615
37,100,100,8254522,1116417
37,100,100,3619054,5082375
37,100,100,7853416,1123817
37,100,100,4198562,7849015
37,100,100,3670154,5377079
37,100,100,3687154,5287677
41,100,100,8160019,1120816
41,100,100,3635452,6087688
41,100,100,3638053,4943471
41,100,100,7854213,1080616
41,100,100,3663652,1081516
41,100,100,9258733,1184517
41,100,100,3547251,5341276
41,100,100,3555450,5373776
41,100,100,8129115,1060515
41,100,100,17197043,1153116
45,100,100,3751853,5174273
45,100,100,3741252,5353375
45,100,100,3637151,5501077
45,100,100,3705452,5314574
45,100,100,10885051,1052214
45,100,100,7887109,1229817
45,100,100,8186013,1265517
45,100,100,3977355,1088915
45,100,100,3835852,4868066
45,100,100,3705250,5183471
49,100,100,3563348,5307472
49,100,100,3682849,1391119
49,100,100,7991607,1112415
49,100,100,9297125,1028313
49,100,100,8218210,1300018
49,100,100,3729050,5100968
49,100,100,3795650,6038580
49,100,100,3799050,970113
49,100,100,3410245,5234468
49,100,100,8000505,1153515
50,1,100,2915038,200502
50,1,100,3505845,276604
50,1,100,3018139,385805
50,1,100,3309143,217003
50,1,100,2853136,217603
50,1,100,3095440,228403
50,1,100,3174641,219202
50,1,100,2999539,212202
50,1,100,3524544,232303
50,1,100,3200440,235003
50,10,100,2953238,379505
50,10,100,3447443,4364655
50,10,100,9017713,303104
50,10,100,8120201,279304
50,10,100,2958837,392105
50,10,100,3694246,297903
50,10,100,2780235,291203
50,10,100,3263540,269604
50,10,100,9345815,1744321
50,10,100,2994536,289703
50,19,100,3361841,440505
50,19,100,3091838,343004
50,19,100,3372241,445005
50,19,100,3460442,4420453
50,19,100,3376341,370704
50,19,100,3041937,332204
50,19,100,3392141,358104
50,19,100,3430341,397605
50,19,100,3322539,422005
50,19,100,3222538,398105
50,28,100,3336039,468806
50,28,100,3110536,665208
50,28,100,3120236,461606
50,28,100,3095636,411505
50,28,100,3376039,4563553
50,28,100,3662742,473906
50,28,100,3245738,457505
50,28,100,2878133,516006
50,28,100,3536241,447905
50,28,100,3032634,404905
50,37,100,2868933,479805
50,37,100,3405239,4544351
50,37,100,3153435,502906
50,37,100,3256336,4591452
50,37,100,3279937,4591551
50,37,100,3324437,4561552
50,37,100,3554540,4940555
50,37,100,3510339,4509550
50,37,100,3553239,4690852
50,37,100,3481038,556206
50,46,100,3026734,534605
50,46,100,3415737,5058956
50,46,100,3272636,4710151
50,46,100,3397537,4656851
50,46,100,7860486,888210
50,46,100,3394337,4989454
50,46,100,3720541,4880752
50,46,100,3560238,4739152
50,46,100,3491238,4950853
50,46,100,3737940,4918453
50,55,100,3437437,5026353
50,55,100,8170587,690807
50,55,100,3385236,4985453
50,55,100,3450436,5124555
50,55,100,3311635,4974252
50,55,100,3310635,635106
50,55,100,3204133,732708
50,55,100,3993342,822808
50,55,100,6831171,2939131
50,55,100,3335634,5057453
50,64,100,3054431,680707
50,64,100,7912282,691607
50,64,100,3989541,740808
50,64,100,3587237,4827549
50,64,100,3555037,4977851
50,64,100,3673538,4772049
50,64,100,3229633,5441355
50,64,100,3301934,5142352
50,64,100,9292595,980210
