Pallet: "pallet-staking", Extrinsic: "bond", Lowest values: [], Highest values: [], Steps: [10], Repeat: 10
u,extrinsic_time,storage_root_time
0,20659629,278300
0,20983029,288801
0,30196042,281501
0,3576105,8319412
0,19927228,316700
0,20573729,278000
0,10564415,288400
0,20376729,325700
0,20163828,252701
0,19541428,312900
100,19860128,17002525
100,20947030,296501
100,38626055,302800
100,10683315,272700
100,20175429,433201
100,20268329,283101
100,3410205,265701
100,20697230,236201
100,20995731,348400
100,19936529,280000
200,3207305,232600
200,20210930,326800
200,20159730,334500
200,21560331,276101
200,24677736,288700
200,21523932,292800
200,20721130,269001
200,19961829,356601
200,20609830,268400
200,20985531,266300
300,20689031,267100
300,20385530,299001
300,20221730,339101
300,19774529,331701
300,21433032,373501
300,3051304,16636325
300,20944331,340201
300,20570731,343100
300,11694818,314900
300,20794532,300900
400,20804031,320601
400,19963230,258700
400,20961232,274100
400,19719730,320401
400,20571632,241100
400,20646432,346000
400,20812732,269301
400,19730130,393601
400,20788432,268700
400,20381531,290301
500,10487616,8844713
500,38470459,374601
500,10956416,281501
500,11389717,301401
500,20914932,263000
500,20491932,249100
500,20719832,336801
500,20737032,285501
500,20761332,255601
500,19970831,275201
600,10687717,290300
600,21141233,379100
600,20880533,315101
600,21079033,262401
600,3114505,281501
600,3226805,262500
600,3211906,455000
600,3116305,246800
600,3357106,338200
600,2937704,249701
700,3661706,4314407
700,3324406,310000
700,3393705,276201
700,3562006,307900
700,2996305,258800
700,3088905,311000
700,3069505,269200
700,3375405,272601
700,2948004,266201
700,3159105,357400
800,3046505,302800
800,3149605,279300
800,3055604,273801
800,3241406,271800
800,3029105,284501
800,3056804,323200
800,3707206,279800
800,3160605,278800
800,3048205,307600
800,3072505,272200
900,7924413,276901
900,2861705,276500
900,2905504,273701
900,3158405,288300
900,3045405,283100
900,2937705,311100
900,3265205,279200
900,3007605,297200
900,3136405,283300
900,2975905,300501
1000,2922105,245000
1000,2935505,262100
1000,3134905,267701
1000,2772305,282400
1000,3272505,282601
1000,2835305,234900
1000,3269006,328900
1000,2942905,248301
1000,3079005,275800
1000,3054505,273701
