Pallet: "pallet-staking", Extrinsic: "bond_extra", Lowest values: [], Highest values: [], Steps: [10], Repeat: 10
u,extrinsic_time,storage_root_time
0,2987405,216001
0,2881604,210801
0,3052905,238800
0,3165605,256800
0,2856705,227400
0,2849105,223700
0,9326016,247200
0,2898405,250200
0,2853805,241800
0,4822908,1795303
100,3012805,220100
100,3432706,239200
100,2938405,222500
100,3101806,222800
100,3362106,4324408
100,2854405,232600
100,3002605,238101
100,3329005,216501
100,8159014,228500
100,3013705,255100
200,3115805,218900
200,3050105,223301
200,3305106,625201
200,3477106,226000
200,2857005,214500
200,2927605,238300
200,2851105,224500
200,3047505,217600
200,3128105,249000
200,2989506,231900
300,3096305,240501
300,3315606,314200
300,3226605,321101
300,2697605,206800
300,2871705,222301
300,2833305,220200
300,3241206,367001
300,2928305,226201
300,2924405,227900
300,8111414,306201
400,2820805,216700
400,3112206,224800
400,3512306,252401
400,3081305,280601
400,3048405,262700
400,3102905,219201
400,3023205,227000
400,3029106,257200
400,20418636,268500
400,2852906,7131412
500,19718134,229501
500,21195837,16757330
500,20951137,233300
500,38540969,279600
500,21273638,255800
500,3008505,17036031
500,20381736,253001
500,20352436,258601
500,20665937,286201
500,11124220,266801
600,20801937,230501
600,20671938,230900
600,10957719,234501
600,20567237,258000
600,20268137,284100
600,20823238,409901
600,20234637,256000
600,3210506,16425130
600,20096137,234800
600,32198259,237500
700,20047336,259301
700,20499637,279401
700,3039405,16710731
700,20350337,17431132
700,20722637,309901
700,20545438,268800
700,21139539,273000
700,20073237,277400
700,3146006,242100
700,2877806,599701
800,20445238,272800
800,20845138,276101
800,20012137,395201
800,20566938,290600
800,16670031,224400
800,19835137,229000
800,20671239,225400
800,20696739,240500
800,21248940,285801
800,19825037,244901
900,20764539,336101
900,2871106,6815113
900,11090720,321301
900,20645838,228001
900,21031439,329901
900,20614839,362401
900,21112540,251701
900,20867240,265600
900,20325739,270000
900,20600039,280901
1000,20612139,286000
1000,3099906,16543531
1000,20950940,262600
1000,2857805,215901
1000,20020838,244801
1000,3135406,213300
1000,2852905,216401
1000,20680440,295700
1000,10248319,306701
1000,20540040,252800
