Pallet: "pallet-staking", Extrinsic: "cancel_deferred_slash", Lowest values: [], Highest values: [], Steps: [10], Repeat: 10
s,extrinsic_time,storage_root_time
1,870212,288804
1,870311,291704
1,811511,297904
1,942313,316104
1,826511,291304
1,851611,304704
1,802311,285903
1,861612,325704
1,754310,342005
1,862112,299904
100,17641637,288604
100,24460328,397806
100,22732705,382905
100,19143257,317004
100,21891893,347304
100,19580562,393305
100,20218570,772511
100,23490713,441506
100,19299858,306604
100,25856044,403806
199,32853738,484807
199,29480592,288904
199,29279089,311604
199,28261476,277203
199,31538919,315704
199,29593892,288404
199,27495765,294304
199,28603579,285904
199,26849155,238603
199,28223773,412006
298,39222518,289104
298,41455948,318304
298,46210210,309204
298,40934140,387705
298,47467026,456106
298,40432032,292704
298,41183842,290304
298,50181760,274204
298,39438518,300904
298,46460609,300604
397,49305247,269604
397,49957954,302104
397,45881800,312504
397,46765411,314104
397,47849326,268803
397,47365518,339505
397,48313731,301704
397,49991252,336604
397,55426322,288004
397,49895150,287903
496,55015016,251803
496,70095711,437806
496,53876499,287904
496,57964552,250403
496,53555494,245604
496,54718809,251403
496,54068299,304304
496,59970776,251503
496,58420255,309504
496,56537030,268904
595,61915699,234003
595,69840401,224303
595,59131162,250803
595,55295012,221503
595,62322501,253303
595,60540177,227303
595,63182911,223403
595,60099371,275304
595,58790154,263503
595,57266734,188202
694,62724303,208503
694,61571088,195303
694,63685114,223103
694,59138255,276004
694,79805819,213802
694,60164967,253103
694,64091916,216603
694,64300419,246803
694,68523572,200002
694,66205941,221503
793,66983651,193702
793,67439956,210703
793,79326607,236203
793,68239265,222703
793,67140850,217403
793,66657043,216603
793,65152924,173802
793,63916807,192203
793,62441988,217003
793,63616602,183102
892,70341386,175902
892,67144345,188903
892,71598401,179102
892,66615737,168702
892,66322133,191302
892,68803264,194202
892,68983664,208003
892,71215292,189502
892,69853874,200103
892,69995676,171402
991,66827636,195902
991,72308403,175402
991,70944086,231103
991,76628956,234903
991,66886733,202302
991,64542303,132701
991,69385263,166402
991,73390512,159802
991,69167359,5551069
991,74787728,203603
