Pallet: "pallet-staking", Extrinsic: "nominate", Lowest values: [], Highest values: [], Steps: [10], Repeat: 10
n,extrinsic_time,storage_root_time
1,160600,104501
1,157401,127000
1,150700,142701
1,209901,109400
1,163601,106500
1,159700,100700
1,173300,105501
1,184601,111500
1,161301,139600
1,172201,120800
2,166801,111000
2,198901,108000
2,184500,107701
2,155201,98800
2,229301,106800
2,158500,104200
2,161201,107200
2,231201,122500
2,180900,123700
2,156401,102500
3,196800,153601
3,171000,109300
3,181701,106700
3,155801,125000
3,178300,110400
3,169401,117800
3,156201,101400
3,151800,97700
3,161701,105600
3,176300,103200
4,210401,149000
4,186101,151200
4,196600,106500
4,217900,112901
4,187601,111300
4,176401,106800
4,204600,128401
4,184301,152700
4,212901,114300
4,210401,154800
5,186301,195800
5,178300,154401
5,189200,113401
5,182100,107400
5,172000,111600
5,184701,103800
5,168001,106400
5,186801,116800
5,176800,132701
5,176601,112500
6,185801,113000
6,199801,228400
6,191001,114500
6,212300,109701
6,178501,113700
6,173701,109300
6,189301,115200
6,176501,110100
6,195401,131600
6,178900,118501
7,271101,162700
7,190800,149801
7,181801,147800
7,1057703,156301
7,187600,113001
7,183500,124300
7,229500,119301
7,171500,103901
7,191701,118000
7,179500,116800
8,190700,111500
8,190301,110400
8,209101,134500
8,198200,104401
8,186300,146901
8,182201,107800
8,183501,104200
8,184200,112601
8,305201,130300
8,202700,111301
9,329901,133400
9,182601,123900
9,195401,109000
9,185500,112501
9,171901,103900
9,176300,106301
9,249601,183900
9,233301,118300
9,221701,113800
9,181501,115500
10,228901,167401
10,220101,130700
10,173101,102900
10,181701,108200
10,234901,144900
10,272900,124601
10,187401,140400
10,187001,110000
10,195001,116800
10,224001,117000
11,199201,130900
11,197401,111800
11,191201,109700
11,279100,103301
11,185101,106500
11,331301,216201
11,185300,107301
11,197900,127601
11,197101,113000
11,294701,117301
12,189300,202401
12,184701,125300
12,212701,119500
12,214701,149300
12,225901,116400
12,203000,128801
12,222501,129000
12,249101,133300
12,229201,123100
12,304201,120000
13,252501,140100
13,204500,138001
13,238600,120301
13,251600,138501
13,222100,118901
13,274500,204101
13,257001,126800
13,273801,118900
13,186000,129201
13,207201,122900
14,400301,401002
14,209301,120000
14,279401,124100
14,208501,116600
14,210201,150900
14,192800,113900
14,226700,119201
14,258501,148200
14,272101,231501
14,282000,118501
15,224901,121600
15,257101,175500
15,263401,175700
15,206301,121900
15,301901,141200
15,215901,156300
15,243601,134000
15,252101,130800
15,257601,119800
15,286501,164601
16,228100,118501
16,294701,143700
16,209401,126700
16,214201,120400
16,238301,122800
16,266000,153801
16,320301,138900
16,231701,117300
16,200700,113301
16,290601,131400
