Pallet: "pallet-staking", Extrinsic: "reap_stash", Lowest values: [], Highest values: [], Steps: [10], Repeat: 10
u,extrinsic_time,storage_root_time
1,40108730,292702
1,41077136,294202
1,48921881,293801
1,40340131,283302
1,22521129,17154298
1,22299328,315401
1,50087487,285401
1,40095830,902105
1,39829329,299901
1,40439532,272402
100,50849892,9993257
100,61471552,19952114
100,50170987,2614415
100,125144316,10615361
100,61295650,19322911
100,80804462,18895508
100,80049058,19209609
100,61762553,19757813
100,61541952,9255953
100,60870947,18628907
199,59283238,2453114
199,41431537,19150609
199,51739995,19418211
199,59843342,10953962
199,69395796,2355713
199,59422239,9896656
199,60010742,10526060
199,61700852,19746212
199,61615051,18566905
199,59226437,9374453
298,60921747,20071814
298,41906339,17439799
298,60537244,9558155
298,20287415,2405014
298,80986160,18008902
298,77402240,10009857
298,61708851,17655800
298,79969354,10705561
298,50424386,9404954
298,60128041,10311758
397,39753625,302102
397,21918124,279702
397,57804228,337602
397,21966624,306002
397,60688544,330002
397,40212328,311201
397,40645231,295501
397,40054527,353102
397,39994926,294002
397,89499006,18307304
496,39437023,304902
496,39587324,337802
496,40875031,323201
496,22083125,285501
496,21592322,286302
496,39458823,17192397
496,29647767,346002
496,40444928,403303
496,23062830,16149292
496,39396722,332002
595,39867625,305802
595,31305576,311202
595,40093526,340402
595,22772928,303302
595,22256426,408302
595,39851325,396902
595,12459270,307402
595,40703529,311702
595,22498027,17134896
595,49854181,298502
694,39882624,326202
694,40117425,253002
694,40105325,383502
694,40174025,337402
694,41431133,354902
694,59433634,293902
694,40243026,282002
694,22420625,17382598
694,38459916,299201
694,40001924,406302
793,61597046,19472109
793,61010342,10360458
793,51404988,19100307
793,89844604,17648399
793,61212543,18626405
793,61209743,17984200
793,62175048,17815100
793,61312344,18630204
793,79701846,11344664
793,61537944,18381403
892,79549545,10248158
892,89260599,2874016
892,52691695,9612353
892,61932246,20349114
892,61574944,17685299
892,59312831,9192652
892,51086085,10653060
892,51763089,9409652
892,76189225,11643765
892,60600638,18396702
991,60091535,11318563
991,79623144,9887055
991,60478337,12812372
991,61353542,18737104
991,42483137,10482058
991,77042129,4699326
991,119048863,29186963
991,61314241,10839360
991,79299541,11192862
991,69711888,19940511
