Pallet: "pallet-staking", Extrinsic: "rebond", Lowest values: [], Highest values: [], Steps: [10], Repeat: 10
l,extrinsic_time,storage_root_time
1,257001,177001
1,239401,156801
1,254102,165001
1,269701,163501
1,310602,182401
1,259202,181701
1,241002,159901
1,227701,152601
1,251302,170901
1,243801,165401
100,270201,161201
100,263702,191801
100,279902,197401
100,245701,156301
100,244202,158501
100,270102,191001
100,284202,166201
100,279502,159301
100,313202,178101
100,290802,194701
199,281102,184901
199,243302,147701
199,275802,173301
199,438903,172301
199,251101,142801
199,341102,151201
199,291402,186001
199,330902,207301
199,251902,157001
199,282702,187001
298,287401,188402
298,272601,162501
298,307002,178201
298,277601,166401
298,281802,179701
298,334902,166601
298,292602,153001
298,239801,193602
298,262402,181601
298,326502,172001
397,305302,170501
397,275701,156401
397,280101,156201
397,348302,178101
397,280201,250102
397,282302,192401
397,381303,233701
397,347702,163501
397,275502,152901
397,261801,152501
496,292001,156301
496,276101,243502
496,305902,160301
496,294502,152501
496,278202,154301
496,326002,166001
496,328902,214001
496,18223410,200801
496,312602,166501
496,297402,177601
595,291602,177601
595,294202,177601
595,318502,169901
595,372702,296602
595,289501,160601
595,378602,259502
595,289302,151901
595,299101,196402
595,411102,168601
595,383403,220301
694,365302,192501
694,300302,162601
694,369203,168001
694,302301,162701
694,356302,155501
694,437803,196201
694,403203,187801
694,367102,188801
694,607704,215301
694,395602,163201
793,298002,193101
793,401103,194401
793,319202,164901
793,434302,164501
793,324602,164401
793,415302,172101
793,477002,154201
793,349703,182701
793,347902,184501
793,349002,199101
892,305302,167001
892,321502,161001
892,334902,163201
892,347402,167301
892,353003,245901
892,347203,225001
892,345702,171801
892,320002,201201
892,416002,191402
892,406102,189801
991,301802,150801
991,393302,226402
991,314302,158801
991,316102,186501
991,362902,156501
991,502903,200801
991,336102,164401
991,15544893,201601
991,391903,173101
991,11633269,194802
