Pallet: "pallet-staking", Extrinsic: "set_controller", Lowest values: [], Highest values: [], Steps: [10], Repeat: 10
u,extrinsic_time,storage_root_time
0,207501,147900
0,249901,151800
0,207701,140700
0,255401,137300
0,220501,178500
0,202501,155900
0,235701,169900
0,208401,161701
0,209200,137701
0,233901,190800
100,214000,161201
100,295801,161501
100,202800,138601
100,231901,144501
100,230301,146800
100,281001,151501
100,250801,178001
100,220801,153000
100,214800,144901
100,245901,147001
200,219501,162000
200,1069503,581802
200,233601,156700
200,265501,147500
200,227601,159301
200,210601,139200
200,199500,135801
200,206301,209700
200,257501,139601
200,306501,161001
300,244101,156000
300,227701,165201
300,239801,162700
300,224601,245901
300,219101,185900
300,201001,157300
300,218701,158301
300,224801,152300
300,243801,191901
300,217500,156301
400,299101,191700
400,227601,186800
400,260401,173000
400,254401,168000
400,247401,165200
400,227101,188400
400,239601,163100
400,230401,170300
400,260201,180001
400,229101,181701
500,236600,179101
500,224401,169301
500,269701,204701
500,284801,218500
500,219601,170000
500,205101,173200
500,236201,151100
500,218800,159501
500,261001,157100
500,217301,157500
600,208901,146601
600,217600,151901
600,217500,161201
600,228601,186001
600,333902,200200
600,279901,333101
600,206401,151200
600,220200,160201
600,236601,156400
600,383701,176501
700,232101,147600
700,206701,164501
700,221300,172301
700,251100,138501
700,651002,168801
700,219201,169000
700,201301,230301
700,230801,198300
700,233501,153801
700,241101,149101
800,222901,152800
800,241401,164300
800,232700,147101
800,305001,513102
800,316201,146900
800,206201,135400
800,213000,145401
800,280201,164100
800,222201,159900
800,238600,177401
900,223101,161800
900,220301,161800
900,225200,194801
900,208001,151500
900,275501,156100
900,212400,153701
900,207500,156301
900,244000,150601
900,219001,294901
900,234701,157800
1000,241001,169101
1000,233200,166801
1000,228200,205001
1000,202500,168101
1000,264501,169200
1000,260701,203000
1000,215401,156400
1000,217300,156901
1000,217701,158000
1000,222801,216401
