Pallet: "pallet-staking", Extrinsic: "set_invulnerables", Lowest values: [], Highest values: [], Steps: [10], Repeat: 10
v,extrinsic_time,storage_root_time
0,22500,114601
0,24600,220800
0,24400,179801
0,24100,157101
0,23700,121401
0,21000,110700
0,24100,156000
0,29900,184000
0,24800,130701
0,49400,162601
100,30800,208500
100,29300,141101
100,31900,143901
100,31100,145600
100,29400,140800
100,28900,137000
100,30801,144902
100,33001,150302
100,29701,143102
100,30101,192603
200,34601,154502
200,49701,167402
200,33701,139702
200,30201,142602
200,33101,179303
200,31800,150003
200,44401,216704
200,53501,141502
200,33500,246704
200,33400,151303
300,36601,215803
300,60901,171703
300,54801,224603
300,38900,218804
300,37101,181003
300,35700,152303
300,36301,201703
300,37700,158302
300,55601,226603
300,54301,159302
400,44801,167203
400,73501,235004
400,39301,180503
400,39401,184203
400,39600,151502
400,42401,194103
400,40100,163003
400,38801,172302
400,41101,202103
400,83201,265905
500,44901,249504
500,43900,185103
500,44501,199703
500,122902,213004
500,268205,696811
500,80901,199504
500,42801,196803
500,44101,225704
500,64001,217004
500,49601,191503
600,48801,253204
600,126502,256904
600,46001,202103
600,69501,240404
600,69102,166902
600,64601,183203
600,50601,197603
600,48001,216603
600,48600,196904
600,95701,220004
700,81702,263604
700,106102,209703
700,69901,259304
700,51401,277404
700,115102,230104
700,62501,219504
700,52201,314205
700,75401,201903
700,47101,222203
700,70002,255604
800,59301,233904
800,76602,304905
800,51301,221003
800,56101,222004
800,52901,221604
800,53401,186103
800,72801,368606
800,74401,283504
800,58501,290905
800,56101,258604
900,99201,318905
900,105302,301005
900,111002,225804
900,77001,307905
900,91901,320405
900,58701,316805
900,105202,263904
900,60501,227403
900,76301,216703
900,82602,274804
1000,79702,249804
1000,79101,236004
1000,81501,270205
1000,60301,265204
1000,84501,307505
1000,110902,317505
1000,88202,229803
1000,61201,258904
1000,64301,258405
1000,62201,313505
