Pallet: "pallet-staking", Extrinsic: "set_payee", Lowest values: [], Highest values: [], Steps: [10], Repeat: 10
u,extrinsic_time,storage_root_time
0,133501,99900
0,180200,110901
0,159700,135401
0,119300,94400
0,186001,93400
0,168601,229100
0,126600,115000
0,118200,93200
0,203100,98901
0,118901,93400
100,129600,125100
100,159100,97000
100,139701,15547847
100,121901,95600
100,123901,118000
100,123200,96200
100,142401,92000
100,144601,98800
100,128801,98800
100,133800,100001
200,140600,93500
200,144300,112400
200,153401,95100
200,145900,118100
200,121900,95300
200,136101,112300
200,157101,96500
200,120900,98500
200,139000,96100
200,121201,95900
300,199701,91900
300,138800,129901
300,173100,93600
300,120000,94000
300,124601,95800
300,126201,101600
300,146801,171400
300,198301,99800
300,115400,90001
300,123901,95800
400,121100,115500
400,122201,96800
400,124000,97801
400,126700,97900
400,124400,98300
400,154500,94600
400,122400,97400
400,124201,97200
400,120801,103000
400,178801,113500
500,125800,95100
500,116300,92001
500,124100,98501
500,129701,96500
500,194601,96500
500,109200,126100
500,123400,97200
500,119100,96801
500,115700,92401
500,160200,185701
600,156601,17369253
600,171801,98700
600,245201,93900
600,115700,90000
600,126700,129500
600,116600,122801
600,122301,94200
600,115700,171501
600,127000,119700
600,117101,92300
700,153900,93400
700,133500,91201
700,142300,96500
700,122200,113501
700,142201,99200
700,177500,160901
700,162901,110100
700,142000,97600
700,117401,132300
700,193501,118500
800,124901,98000
800,167801,94000
800,119900,97001
800,159001,101000
800,132001,98300
800,133301,93900
800,128601,142400
800,119501,93000
800,123000,97900
800,170700,97401
900,131901,163300
900,124200,99701
900,145100,122500
900,131501,103300
900,125300,99300
900,123200,99101
900,122100,97301
900,170501,101600
900,127200,101900
900,137000,94400
1000,135601,147100
1000,129700,103501
1000,149101,119800
1000,130200,102200
1000,132500,129401
1000,124201,117100
1000,146300,145001
1000,137100,101701
1000,154100,110400
1000,124500,97901
