Pallet: "pallet-identity", Extrinsic: "kill_identity", Lowest values: [], Highest values: [], Steps: [10], Repeat: 10
r,s,x,extrinsic_time,storage_root_time
1,100,100,6285209,2696803
1,100,100,6154008,2463203
1,100,100,5971808,2239902
1,100,100,6318708,2287503
1,100,100,7552210,2758603
1,100,100,6087008,10522714
1,100,100,6333908,2241103
1,100,100,5909608,2454103
1,100,100,5892707,2288404
1,100,100,6802209,2970104
5,100,100,6654209,2466203
5,100,100,6317608,2963704
5,100,100,6341309,2620403
5,100,100,6072508,2390503
5,100,100,6524608,2417404
5,100,100,5851207,2639404
5,100,100,6174609,2551903
5,100,100,6598409,2405404
5,100,100,6057208,2341403
5,100,100,7029709,2814304
9,100,100,7842210,2905404
9,100,100,7074109,2927504
9,100,100,7428109,2745704
9,100,100,6068208,3695805
9,100,100,6071008,2427403
9,100,100,6167308,2776704
9,100,100,6198208,2235403
9,100,100,8515412,3046604
9,100,100,6975209,3092504
9,100,100,6306608,3227904
13,100,100,6231408,3170205
13,100,100,14483719,2254503
13,100,100,7007910,2524003
13,100,100,6293408,2411503
13,100,100,6005708,2384703
13,100,100,6471108,2419303
13,100,100,7388510,3219104
13,100,100,6535209,2464403
13,100,100,7847511,2574103
13,100,100,6062908,2447803
17,100,100,6632909,2381203
17,100,100,7852911,2735103
17,100,100,7263010,3315404
17,100,100,7127910,2976604
17,100,100,7520310,2579604
17,100,100,6483309,2503003
17,100,100,6956309,2931204
17,100,100,7635810,2505403
17,100,100,6926609,2592304
17,100,100,6410109,2575803
21,100,100,4223706,776301
21,100,100,4801907,680601
21,100,100,5689908,880001
21,100,100,4497606,808201
21,100,100,5509708,810701
21,100,100,4624606,814001
21,100,100,4720306,639601
21,100,100,6665608,780401
21,100,100,6150308,722501
21,100,100,5285907,677100
25,100,100,4175405,719501
25,100,100,4406006,626301
25,100,100,4576906,874901
25,100,100,4374706,759801
25,100,100,5508907,641801
25,100,100,4783807,651701
25,100,100,5148906,676501
25,100,100,4944407,680301
25,100,100,4234306,609101
25,100,100,5390408,1048801
29,100,100,4745906,765501
29,100,100,4742507,713501
29,100,100,4810106,709401
29,100,100,5664008,967901
29,100,100,4332106,709901
29,100,100,4664606,633501
29,100,100,5384407,769201
29,100,100,5269207,726301
29,100,100,5049407,653701
29,100,100,4774707,673201
33,100,100,4591406,748201
33,100,100,4393506,619001
33,100,100,4792507,656700
33,100,100,4715206,629901
33,100,100,6422109,908201
33,100,100,4961506,634901
33,100,100,4596306,669301
33,100,100,4702106,652701
33,100,100,4970907,732001
33,100,100,5437107,785101
37,100,100,5243607,763501
37,100,100,5041707,833101
37,100,100,5438108,777401
37,100,100,4514306,717201
37,100,100,4237105,651601
37,100,100,5399807,846101
37,100,100,4768107,1077901
37,100,100,5113607,745801
37,100,100,4659706,771501
37,100,100,4899606,724001
41,100,100,5517408,714501
41,100,100,4772006,791201
41,100,100,5461108,759401
41,100,100,4868706,818201
41,100,100,4897107,720300
41,100,100,5267007,860401
41,100,100,5210007,1069701
41,100,100,4934907,623101
41,100,100,4646906,705801
41,100,100,4929807,670001
45,100,100,4839106,666801
45,100,100,5561407,991402
45,100,100,4205306,636301
45,100,100,5073907,730701
45,100,100,4563706,674901
45,100,100,4379106,709601
45,100,100,4539106,734301
45,100,100,4639006,753501
45,100,100,4929707,635800
45,100,100,4596506,985201
49,100,100,4427906,699601
49,100,100,5502808,756201
49,100,100,4571606,718701
49,100,100,4692506,734701
49,100,100,4838906,703601
49,100,100,4726406,747501
49,100,100,5117807,721401
49,100,100,5408407,720201
49,100,100,4503306,655901
49,100,100,5085307,718901
50,1,100,4006306,146500
50,1,100,4973807,242700
50,1,100,4491206,166000
50,1,100,4456706,173800
50,1,100,4013306,168700
50,1,100,4400006,200600
50,1,100,4557906,169000
50,1,100,4403306,146300
50,1,100,4905206,237101
50,1,100,4292406,167100
50,10,100,5038407,222700
50,10,100,4200806,228400
50,10,100,4886007,281000
50,10,100,4995107,213200
50,10,100,5840108,323201
50,10,100,4607006,254801
50,10,100,4853406,276300
50,10,100,4332206,238500
50,10,100,4083105,210800
50,10,100,4418906,199600
50,19,100,4425406,293000
50,19,100,4116705,314501
50,19,100,4247905,283001
50,19,100,4023105,239301
50,19,100,5069607,292600
50,19,100,4081606,242100
50,19,100,4687106,249700
50,19,100,4254805,252101
50,19,100,4142205,234101
50,19,100,4942206,273701
50,28,100,4782706,339800
50,28,100,4908607,341900
50,28,100,4538306,322701
50,28,100,4325206,366001
50,28,100,4620206,462501
50,28,100,4651507,318100
50,28,100,5076607,424700
50,28,100,4406306,327001
50,28,100,4165605,283501
50,28,100,4355306,285401
50,37,100,4698906,360201
50,37,100,4362906,403300
50,37,100,4522106,394800
50,37,100,5119807,525001
50,37,100,4296006,357301
50,37,100,4939706,330401
50,37,100,4323506,355400
50,37,100,5045606,391901
50,37,100,4782107,366500
50,37,100,4422106,327600
50,46,100,4681406,405001
50,46,100,5269907,667001
50,46,100,5739408,630101
50,46,100,4222705,409901
50,46,100,4704706,383101
50,46,100,4849406,448301
50,46,100,4179106,379400
50,46,100,5049707,431201
50,46,100,5000607,382600
50,46,100,6596509,487701
50,55,100,4609606,563301
50,55,100,4940907,529301
50,55,100,5074007,518801
50,55,100,4508606,454800
50,55,100,4672406,518600
50,55,100,4870007,546601
50,55,100,4516206,417100
50,55,100,4792107,486200
50,55,100,4148906,575201
50,55,100,4244605,476401
50,64,100,4976606,507901
50,64,100,5370307,709501
50,64,100,5288207,693901
50,64,100,4340506,450201
50,64,100,5096207,544501
50,64,100,5208907,768401
50,64,100,4198005,509701
50,64,100,4590506,495101
50,64,100,4887307,518001
50,64,100,4443506,459400
50,73,100,4788907,595600
50,73,100,5455007,790801
50,73,100,5259707,546601
50,73,100,4469006,534301
50,73,100,5071607,577500
50,73,100,4228705,521601
50,73,100,4497905,559801
50,73,100,4897207,578700
50,73,100,4152006,517200
50,73,100,4653206,593801
50,82,100,5181907,728601
50,82,100,5439507,671201
50,82,100,4994707,767701
50,82,100,4943807,806501
50,82,100,5356408,700900
50,82,100,4552106,598201
50,82,100,5700308,687701
50,82,100,4565806,570501
50,82,100,4893506,626401
50,82,100,4851507,639800
