Pallet: "pallet-identity", Extrinsic: "request_judgement", Lowest values: [], Highest values: [], Steps: [10], Repeat: 10
r,x,extrinsic_time,storage_root_time
1,100,2281603,93600
1,100,2358703,107300
1,100,2294003,96300
1,100,2594404,142700
1,100,2233503,97800
1,100,2777403,141500
1,100,2545103,111200
1,100,2297703,93400
1,100,2902204,175700
1,100,2257003,91800
5,100,2421703,169501
5,100,2973204,314900
5,100,3206904,106301
5,100,2655303,96400
5,100,3323904,111901
5,100,2242303,96500
5,100,2191703,93500
5,100,2350303,132100
5,100,2663804,104600
5,100,3038504,130200
9,100,2398403,114701
9,100,2431503,128600
9,100,2464303,105900
9,100,2489103,104300
9,100,2672703,137100
9,100,2686904,177500
9,100,2374103,98700
9,100,2384903,140000
9,100,8250511,110700
9,100,2636704,105000
13,100,3105504,128401
13,100,2754104,103700
13,100,2478404,114400
13,100,2534403,124101
13,100,3078804,111400
13,100,3300104,117000
13,100,3064304,146600
13,100,2695004,112900
13,100,2659603,111400
13,100,2914404,133200
17,100,2730904,153500
17,100,2520303,113700
17,100,2680703,117200
17,100,3054504,127700
17,100,2538103,142401
17,100,3254204,117600
17,100,2539803,110900
17,100,2554804,122600
17,100,2559803,154301
17,100,2772003,117200
21,100,2864204,143800
21,100,2632503,103200
21,100,2754303,113700
21,100,2614403,160100
21,100,2269303,102100
21,100,3052604,116600
21,100,2198903,100500
21,100,2976803,175301
21,100,2522603,160201
21,100,3576304,161501
25,100,2255303,108600
25,100,2355803,103200
25,100,2523403,139200
25,100,2546903,108500
25,100,2514403,140701
25,100,2653903,202701
25,100,2319303,105900
25,100,2270503,108700
25,100,2143802,101401
25,100,2791904,146700
29,100,2195003,243300
29,100,2598203,121200
29,100,2298603,105600
29,100,10596914,103500
29,100,2287503,122400
29,100,2513904,108500
29,100,2189103,104300
29,100,2871203,140901
29,100,2592403,104100
29,100,2966904,132100
33,100,2396203,114900
33,100,2939204,121900
33,100,2631203,114900
33,100,2173703,141300
33,100,2789604,121700
33,100,2318903,132500
33,100,2433603,104601
33,100,2437403,110700
33,100,2692304,128900
33,100,2156403,110900
37,100,2247603,127300
37,100,3037504,194700
37,100,2534204,113500
37,100,2531004,187700
37,100,2376003,106000
37,100,3694705,135101
37,100,2819404,122300
37,100,2634104,110400
37,100,2433603,125901
37,100,2704504,165700
41,100,2421504,150200
41,100,2716504,148400
41,100,2447203,149001
41,100,2580304,129500
41,100,2303404,111800
41,100,2359604,135400
41,100,2282004,114300
41,100,3158105,252300
41,100,2324604,113400
41,100,2653304,141600
45,100,2355503,115701
45,100,2945304,132501
45,100,2529904,134500
45,100,3534405,123300
45,100,2728704,140300
45,100,2823604,145000
45,100,2755305,147700
45,100,3304505,129100
45,100,2460804,180100
45,100,2463304,149000
49,100,2568303,295301
49,100,2703805,115300
49,100,2310903,113501
49,100,2911704,137401
49,100,2855104,140900
49,100,2866604,160001
49,100,2324203,178001
49,100,2739505,114600
49,100,2874804,119401
49,100,2347003,110800
50,1,2515604,124100
50,1,2094504,102800
50,1,2988004,117600
50,1,2959304,142101
50,1,2096403,135401
50,1,2333404,101100
50,1,2433404,102200
50,1,2463104,164200
50,1,2249603,173301
50,1,1936103,116700
50,10,2294303,109400
50,10,2813904,129500
50,10,2242703,115600
50,10,2004203,102700
50,10,1971003,102100
50,10,2639004,124900
50,10,2293203,130201
50,10,2180304,166600
50,10,2407203,160101
50,10,2140703,107700
50,19,2928605,115000
50,19,2451304,117400
50,19,2591804,121700
50,19,2057803,106700
50,19,2482604,124100
50,19,2339003,106700
50,19,2626104,163800
50,19,2723004,152901
50,19,2223803,103900
50,19,2087904,104000
50,28,3007004,214500
50,28,2223303,136600
50,28,2517703,114501
50,28,2766304,106500
50,28,2546204,200400
50,28,2655304,203500
50,28,2324203,137500
50,28,2577703,163901
50,28,2755004,119000
50,28,2312803,111101
50,37,2623504,108600
50,37,2367003,112800
50,37,2279103,112701
50,37,2282403,178800
50,37,2445403,112600
50,37,2165203,113800
50,37,2111904,166700
50,37,2208403,133500
50,37,2271003,169301
50,37,2567404,111700
50,46,2363603,181700
50,46,2480704,159300
50,46,2383404,109700
50,46,2779404,175501
50,46,2723904,136701
50,46,2490304,139900
50,46,9392813,109000
50,46,2602604,196700
50,46,3051805,179700
50,46,2817104,123400
50,55,2275404,108900
50,55,2629803,171201
50,55,3319005,127400
50,55,2435703,108801
50,55,2909904,177100
50,55,2421703,109000
50,55,2257903,116000
50,55,2468804,118200
50,55,2070303,108701
50,55,2224003,115600
50,64,2101103,108700
50,64,2440803,110200
50,64,2721804,141100
50,64,2297304,159300
50,64,2473204,109900
50,64,2415804,115400
50,64,2466103,131401
50,64,2290004,133000
50,64,2340303,114900
50,64,2213604,110600
50,73,2360003,110701
50,73,2545904,131900
50,73,2413703,154901
50,73,2833404,147100
50,73,2148303,114601
50,73,2451204,120900
50,73,2843904,192900
50,73,2301004,121400
50,73,2332703,110800
50,73,2352103,138300
50,82,2970804,163701
50,82,2369404,110500
50,82,4520007,218500
50,82,2259304,112700
50,82,2653404,144400
50,82,2099603,128901
50,82,2964905,119700
50,82,2724804,132800
50,82,2448004,126800
50,82,2684704,131700
50,91,2320403,114601
50,91,3663405,285701
50,91,2631604,159400
50,91,2476504,138500
50,91,2609803,206001
50,91,2230404,115700
50,91,3017704,127600
50,91,2555704,121300
50,91,2349704,117400
50,91,2305304,112600
50,100,2489204,115000
50,100,3136305,146300
50,100,3320905,155900
50,100,2553604,122800
50,100,2305703,117300
50,100,2404803,116901
50,100,2805504,111800
50,100,2370304,130500
50,100,2765004,137300
50,100,2626504,159600
