Pallet: "pallet-identity", Extrinsic: "set_subs", Lowest values: [], Highest values: [], Steps: [10], Repeat: 10
s,extrinsic_time,storage_root_time
1,147100,78000
1,191901,90600
1,159000,77200
1,3667705,74800
1,132600,72900
1,137400,81200
1,134000,75500
1,127201,71100
1,178400,77400
1,231800,73900
10,311100,185301
10,228500,137400
10,216300,140600
10,220701,125000
10,266500,153701
10,399101,165300
10,201001,119500
10,252401,137300
10,364700,147200
10,394001,129500
19,304100,183101
19,295401,175800
19,309900,172600
19,537000,174101
19,318100,159301
19,349300,218400
19,293600,218301
19,399000,195201
19,290400,167801
19,344801,173300
28,404501,209400
28,561201,229100
28,514701,272100
28,489900,205201
28,519401,202200
28,436501,215600
28,501601,205800
28,379101,209000
28,461601,240900
28,497300,293701
37,462901,277500
37,434800,321001
37,623501,369200
37,559901,391500
37,467700,266201
37,409400,248101
37,648701,481600
37,443101,273200
37,655601,364700
37,472001,264700
46,532301,371100
46,763901,460500
46,501801,347400
46,761001,329200
46,493001,312200
46,588601,442101
46,691001,343500
46,490201,317700
46,747501,449700
46,642200,473901
55,626000,416101
55,933201,410800
55,718401,348300
55,611101,402501
55,678701,603501
55,679000,401601
55,624500,522401
55,702201,616501
55,781701,562201
55,743501,519000
64,819601,480200
64,613701,482201
64,624901,393701
64,616900,385101
64,643501,463600
64,620200,391701
64,804301,390301
64,782601,467300
64,676701,437600
64,782201,405201
73,798301,463900
73,749201,528701
73,902901,515300
73,724201,491601
73,849701,682101
73,675401,487500
73,770500,708501
73,841201,465600
73,1121501,457001
73,942901,572900
82,774201,534501
82,832701,530300
82,906201,482601
82,789701,644801
82,902501,487301
82,830401,562801
82,994201,502800
82,764701,478801
82,766401,552601
82,809201,542400
91,1083301,621301
91,1392502,737201
91,1299601,801101
91,823101,514200
91,1129102,518700
91,989502,515000
91,960801,613601
91,863401,548801
91,1061201,620701
91,1263201,734601
