Pallet: "pallet-staking", Extrinsic: "bond_extra", Lowest values: [], Highest values: [], Steps: [10], Repeat: 10
u,extrinsic_time,storage_root_time
0,2262301,156400
0,2323001,142100
0,2039701,149500
0,2514901,142000
0,2273801,130301
0,2609501,220500
0,2415401,150800
0,2538601,146400
0,2222701,126400
0,2283301,150800
100,2096801,151500
100,2539202,158800
100,2424801,132000
100,2520801,154101
100,2149601,128000
100,1957601,129400
100,1908001,127400
100,2650101,161000
100,2044502,129200
100,2186401,126800
200,2340601,171601
200,2756601,168601
200,2071201,125500
200,2421801,166400
200,2222001,136400
200,2767502,144000
200,2164301,179101
200,2341101,145500
200,2101101,127101
200,2663401,140300
300,2066101,127900
300,2305001,129900
300,1939600,128901
300,1894801,130900
300,2202701,151800
300,2119201,134100
300,2166101,141901
300,2248501,167100
300,2624001,151100
300,2379301,196500
400,2548302,158700
400,2051901,130700
400,2599101,160700
400,2515001,158000
400,2110102,129500
400,2069801,126000
400,2077502,131700
400,2440601,132500
400,2402601,277800
400,2161601,125700
500,2058901,209900
500,2222502,150900
500,2066901,137500
500,2428701,136600
500,2150401,147500
500,2624501,227100
500,2119501,131600
500,1962201,133300
500,2156801,173200
500,2155201,133400
600,2113501,127800
600,3622602,160000
600,2384902,130100
600,3268402,217300
600,2249501,127400
600,2307102,161600
600,7967105,130000
600,2006301,127501
600,2697602,157000
600,2174801,131200
700,2480301,175800
700,2215901,137000
700,2645901,208000
700,1931301,132100
700,3140202,161900
700,2056901,134300
700,2447602,143200
700,2103101,134100
700,2472601,133900
700,2147602,153700
800,2298901,150500
800,2827802,187400
800,2369901,158600
800,2572102,154500
800,2639301,152900
800,1965401,191000
800,2590301,145600
800,2383602,167600
800,2335501,132100
800,2246401,133000
900,2178601,275200
900,2114501,187100
900,2112501,135100
900,2320001,134600
900,2213301,142900
900,2322001,223100
900,2314101,133300
900,2112601,142800
900,2608101,236101
900,2652102,165700
1000,2181401,138000
1000,2563801,140100
1000,2219702,157400
1000,2268501,137100
1000,2789901,8170604
1000,2285001,158200
1000,2194301,137800
1000,2391201,161000
1000,2034102,180800
1000,2067201,130400
