Pallet: "pallet-staking", Extrinsic: "cancel_deferred_slash", Lowest values: [], Highest values: [], Steps: [10], Repeat: 10
s,extrinsic_time,storage_root_time
1,579200,162800
1,566001,226200
1,651901,231100
1,784700,186700
1,616600,185000
1,563001,187200
1,682501,174000
1,670500,196600
1,551200,172101
1,599200,189701
100,10420209,198300
100,11445810,308600
100,10880009,569601
100,9627008,238500
100,9510708,187500
100,9579708,189900
100,10147909,241600
100,10115909,232700
100,11593610,256200
100,9630508,196100
199,23222719,445301
199,19025016,165600
199,28454724,274401
199,19807217,196100
199,20262517,575201
199,23324620,190800
199,22527319,307800
199,20048417,189200
199,21546218,217600
199,19664316,199600
298,26911122,186700
298,25226022,152500
298,25668422,157400
298,30962826,241100
298,26882823,185800
298,27398423,208600
298,26403222,164200
298,27391623,189700
298,24848421,161800
298,27835024,192400
397,35300530,165400
397,35669730,260700
397,32739727,150600
397,31703827,158700
397,39908534,171400
397,31895226,204601
397,32108327,147701
397,35024030,141200
397,30998326,144901
397,34187529,145800
496,44775338,158900
496,37496632,126800
496,43467636,143001
496,36926232,141200
496,40810835,148200
496,37544932,148800
496,38736233,141000
496,39791833,138701
496,37899932,141601
496,45000238,230300
595,47342141,137500
595,42548336,171700
595,41446135,267100
595,43975038,159700
595,46991439,161301
595,48532041,182700
595,41684935,125300
595,41744935,114401
595,42734037,145900
595,42594036,128200
694,45378839,118500
694,48214741,125500
694,43748437,104500
694,50630143,176500
694,45996439,183000
694,48259740,137001
694,53456946,196900
694,44462637,201500
694,45493339,113900
694,44805138,216000
793,63355654,5011504
793,49827242,102200
793,48431641,96900
793,51728344,126500
793,47088340,115200
793,52881145,124200
793,51342844,119100
793,46786640,95500
793,51901544,179300
793,55069847,123200
892,53811846,101100
892,51816544,96400
892,56687748,200700
892,47834341,107300
892,50408743,113000
892,50921944,105500
892,49766642,122900
892,53645846,300000
892,54598646,139100
892,59299651,155400
991,51401944,115000
991,48169341,80400
991,53503145,111100
991,52658945,85500
991,52680245,118000
991,49005442,89200
991,51875445,109300
991,50708843,79800
991,59666450,5241405
991,52155544,82400
