Pallet: "pallet-staking", Extrinsic: "new_era", Lowest values: [], Highest values: [], Steps: [10], Repeat: 10
v,n,extrinsic_time,storage_root_time
1,100,23171322,121900
1,100,23642822,120100
1,100,26477125,152700
1,100,22732522,129900
1,100,24414723,128600
1,100,23417422,180200
1,100,26841126,187500
1,100,23945522,124001
1,100,24931324,145600
1,100,27869626,252300
2,100,37457235,341701
2,100,37346636,158400
2,100,39313838,150100
2,100,40187038,170101
2,100,39605737,290001
2,100,39711037,162001
2,100,39304137,157700
2,100,39421738,156600
2,100,35784034,173200
2,100,41954640,214901
3,100,53376951,429500
3,100,52822350,248701
3,100,50885648,172801
3,100,57318255,185400
3,100,49041247,365100
3,100,54326353,396100
3,100,47464046,196300
3,100,49042448,184000
3,100,48577347,215000
3,100,46571745,189900
4,100,57124256,241900
4,100,58920157,223300
4,100,59273557,206000
4,100,67129865,277000
4,100,64231862,245900
4,100,57388256,186300
4,100,59707858,255600
4,100,65753364,233400
4,100,58679557,214900
4,100,63037461,216800
5,100,67755366,212600
5,100,73054971,303100
5,100,77009175,239701
5,100,70382269,257400
5,100,86537185,477100
5,100,74027372,364401
5,100,75985075,231200
5,100,72351971,273400
5,100,79244378,223300
5,100,75980075,211600
6,100,83558582,277600
6,100,80273379,392601
6,100,84996084,344100
6,100,84251783,257600
6,100,83327283,246100
6,100,93270392,279901
6,100,81317481,251500
6,100,85007984,297800
6,100,95665394,304800
6,100,78106177,248200
7,100,96580495,348800
7,100,98148397,317000
7,100,93214493,326900
7,100,92018391,251100
7,100,92245091,247700
7,100,97032097,385900
7,100,96389195,304501
7,100,97357397,256500
7,100,98526298,284800
7,100,106320306,288000
8,100,108118308,334000
8,100,106222305,291801
8,100,116176416,288900
8,100,111622511,302201
8,100,103312903,317300
8,100,114728215,343300
8,100,114598514,325701
8,100,106317806,383101
8,100,107517507,277000
8,100,124880225,360000
9,100,120183620,319801
9,100,116874617,399100
9,100,124700125,421300
9,100,120260320,362301
9,100,119577319,330301
9,100,120225120,300700
9,100,118108918,311501
9,100,125060126,321000
9,100,116396816,324101
9,100,112324113,297800
10,100,12970921624,4545805
10,100,12819195589,4302104
10,100,13115704803,3692704
10,100,14748751766,3997104
10,100,13260863383,3959804
10,100,13470602410,3769704
10,100,13450975406,3955304
10,100,14039396912,4595718
10,100,13711630725,3702114
10,100,14973142976,3757915
10,1,3644214,310701
10,1,3634414,215001
10,1,3820115,217401
10,1,3655714,209700
10,1,3936715,236601
10,1,4980419,213901
10,1,4950818,227201
10,1,3774114,243601
10,1,3524413,223301
10,1,4084716,309301
10,10,13724551,458202
10,10,13694851,537102
10,10,18519469,272001
10,10,15664858,427902
10,10,13746951,261001
10,10,15266256,265601
10,10,13696050,226101
10,10,14506454,234601
10,10,14265253,294301
10,10,13407249,261801
10,19,27060799,344901
10,19,30189310,259501
10,19,27585501,313901
10,19,27170598,242301
10,19,27745000,250301
10,19,28259202,326702
10,19,28596703,333101
10,19,27735200,252601
10,19,28069701,345201
10,19,25291191,234201
10,28,42107250,293201
10,28,36467830,280301
10,28,36150628,283601
10,28,36436729,406202
10,28,37470133,349001
10,28,37932734,259701
10,28,34848022,261401
10,28,39101037,378401
10,28,38731235,344001
10,28,39412638,261101
10,37,47656266,273501
10,37,51401579,381501
10,37,46807062,303001
10,37,50709275,320801
10,37,47324162,278001
10,37,47412763,381101
10,37,58825901,363101
10,37,46810159,264101
10,37,48131363,349802
10,37,46766958,266101
10,46,62131809,395102
10,46,72400443,391001
10,46,65572119,382402
10,46,70635335,339801
10,46,68969028,363201
10,46,58040192,406901
10,46,61964404,301001
10,46,57823090,271401
10,46,57350987,349001
10,46,62533304,284601
10,55,65658013,302601
10,55,74533240,335001
10,55,72140032,290901
10,55,68110918,315401
10,55,71550228,372902
10,55,67476814,365801
10,55,75298838,511401
10,55,76280540,417001
10,55,79721250,504201
10,55,73493530,346501
10,64,86504168,300401
10,64,95547396,366301
10,64,87699671,420601
10,64,89524574,374902
10,64,84019356,325901
10,64,79586841,319401
10,64,84727856,326901
10,64,81237745,293301
10,64,77188232,283401
10,64,84743753,347301
10,73,93520778,347701
10,73,97999590,570501
10,73,88490360,321301
10,73,93981675,381502
10,73,91512667,309301
10,73,92843569,325701
10,73,98395184,391802
10,73,95581074,327101
10,73,90482858,314001
10,73,96952076,305501
10,82,107071303,332101
10,82,110329811,427501
10,82,103810591,329901
10,82,114469219,518701
10,82,115636420,539401
10,82,118143026,395601
10,82,101474679,311501
10,82,120782229,456002
10,82,108618495,330301
10,82,106769288,371701
10,91,130428250,472902
10,91,118336317,349500
10,91,118440915,345901
10,91,118284613,333201
10,91,118202011,330801
10,91,112675895,332201
10,91,120096813,335301
10,91,121695815,584602
10,91,115611298,430901
10,91,133389142,416201
10,100,14141376305,7392318
10,100,14407297022,3706110
10,100,13450384268,6136915
10,100,13419592856,3708409
10,100,14077013283,4013909
10,100,13411870706,3679308
10,100,12729451472,4031209
10,100,13404159868,3857108
10,100,13153284372,3744008
10,100,13848794076,4006309
