Pallet: "pallet-staking", Extrinsic: "reap_stash", Lowest values: [], Highest values: [], Steps: [10], Repeat: 10
u,extrinsic_time,storage_root_time
1,4470304,180900
1,6979106,336800
1,4351504,203200
1,3933903,169801
1,4121404,240600
1,4159804,191900
1,4641104,182700
1,4660704,192200
1,4754505,209800
1,4141804,184600
100,9149108,1952802
100,8680608,2150402
100,8391608,2086402
100,7746707,2183702
100,7676008,2416402
100,8102208,1840902
100,9231908,2153102
100,17255516,2525102
100,8772608,3090003
100,7973108,2117502
199,8879909,2488302
199,7975608,1906501
199,7378607,1875802
199,8707208,2179002
199,8798408,1988002
199,7942108,2393002
199,8409908,2301902
199,7686607,1947702
199,7463907,1804601
199,9013908,2451102
298,7822208,1804901
298,9403609,2642603
298,7298506,1888302
298,9020109,2130902
298,8028007,2121402
298,7776807,1800902
298,9385708,2486803
298,18920817,2282902
298,7673808,1970301
298,7413307,2261902
397,4280204,184800
397,3824803,164501
397,3996304,163700
397,4949804,195901
397,4317304,162800
397,4070404,163700
397,3894503,179501
397,4830405,166000
397,8225407,163301
397,3993303,159701
496,4427304,220701
496,3966803,193100
496,4124704,167800
496,4344604,182401
496,3806303,178300
496,3810604,163000
496,4141504,173600
496,5312005,174000
496,3795003,242300
496,4440605,168300
595,4589104,227800
595,4333904,167100
595,3954703,193301
595,3770503,160700
595,4283404,209100
595,4437404,180801
595,3999703,166501
595,4420304,162601
595,4280704,237300
595,4214704,173800
694,5288305,255400
694,4340605,230100
694,4003604,172200
694,4149304,178200
694,4719504,206701
694,4397104,177800
694,3702203,168601
694,3897204,163500
694,6737306,185700
694,4606704,161401
793,7080907,2223802
793,8077107,2228902
793,14025913,2205602
793,7666608,2101302
793,8816008,2358202
793,8201707,2259302
793,8003807,2333202
793,9570309,2338402
793,7794307,2027602
793,8418407,2111702
892,7919208,2001702
892,19414818,2360602
892,8068708,2025702
892,7883208,2105201
892,7949108,2200102
892,17022216,1839602
892,8365608,2220402
892,8997608,2086402
892,8865208,2080802
892,9925009,4610304
991,8681008,2221302
991,8231308,2053602
991,8019308,2252902
991,8725008,1954902
991,7841607,3092103
991,8434708,2194002
991,7439907,2022202
991,8488508,13548312
991,9714409,2093402
991,8010908,2180402
