Pallet: "pallet-staking", Extrinsic: "unbond", Lowest values: [], Highest values: [], Steps: [10], Repeat: 10
u,extrinsic_time,storage_root_time
0,2472401,159701
0,2748202,116400
0,2334901,203400
0,2478102,134600
0,2466301,126700
0,2283901,157300
0,2133502,121300
0,2112501,109800
0,3332101,145301
0,2417201,133600
100,1929901,112000
100,2327101,159800
100,2274201,233000
100,2653501,175801
100,2710401,131500
100,2213001,158600
100,3538702,119400
100,2185401,110100
100,2083601,121400
100,2436401,131501
200,2066001,130300
200,2113201,151200
200,2056101,131500
200,1984301,109100
200,2264301,110600
200,2335001,120301
200,2010501,158500
200,2067101,132200
200,2073101,111100
200,2399201,144200
300,2295601,131900
300,2151301,122200
300,2236101,116200
300,2226002,116200
300,2327101,112800
300,2267501,187900
300,2035001,113400
300,2291401,115000
300,2300702,155000
300,1905201,112600
400,2237101,147500
400,2246101,125700
400,1953601,118100
400,2165901,111400
400,1906601,111300
400,2222502,127500
400,2430401,129400
400,2090701,113400
400,2011601,111700
400,2062301,119900
500,2444901,141200
500,2058802,115600
500,3867902,155300
500,2186901,116100
500,2001901,218301
500,2002401,115200
500,2333001,251900
500,2049901,115500
500,1963401,113300
500,1968601,122500
600,2314801,119300
600,2171901,128700
600,2090701,120100
600,1915701,109700
600,2101701,111900
600,2435901,630000
600,7086804,115700
600,2108301,133300
600,2379901,134600
600,2187802,122500
700,2008601,145900
700,2179501,113500
700,2285901,127900
700,2720701,191500
700,2351801,120000
700,1995001,111300
700,2199802,113800
700,2156302,115200
700,2459901,123700
700,2529401,142601
800,2606402,123100
800,2339701,139800
800,4234302,170600
800,2671602,205800
800,3126202,151700
800,1944601,120100
800,2177201,149600
800,1972401,116900
800,2496101,126200
800,2946102,119900
900,2151302,140400
900,2083801,122200
900,2160901,130300
900,2079001,117000
900,1955101,119700
900,2471801,132000
900,2000601,116500
900,2679402,138500
900,2318201,157900
900,2399101,195300
1000,2302601,154600
1000,2535902,205600
1000,2277302,140300
1000,2343001,158301
1000,2319601,143300
1000,2617102,219300
1000,2487302,149100
1000,2257902,128000
1000,5811504,128600
1000,2028901,124100
