Pallet: "pallet-staking", Extrinsic: "validate", Lowest values: [], Highest values: [], Steps: [10], Repeat: 10
u,extrinsic_time,storage_root_time
0,75200,74200
0,70400,70700
0,101700,114600
0,72200,70700
0,93300,93400
0,238900,78000
0,271200,81200
0,104500,73500
0,134900,111600
0,120900,77400
100,76100,97100
100,81500,75500
100,89700,95700
100,212700,114201
100,71500,70900
100,104900,110600
100,92900,81500
100,121200,87300
100,73100,70900
100,84000,99601
200,80700,78100
200,143800,144201
200,274000,92600
200,100000,109500
200,272101,77300
200,360700,109100
200,91200,85900
200,138101,109100
200,299200,123000
200,92600,75500
300,73700,88800
300,84900,100200
300,5309903,97700
300,92000,95700
300,76600,73400
300,75800,72700
300,131100,79400
300,82600,80300
300,72900,70300
300,78800,72700
400,83400,78200
400,92100,108200
400,210100,93800
400,80901,103100
400,233400,76200
400,78200,92700
400,272700,83400
400,75700,76000
400,79700,95300
400,77000,75800
500,80600,76800
500,283000,109300
500,94400,78100
500,78600,74100
500,76000,92300
500,89200,86800
500,95600,86600
500,251200,81501
500,84100,78500
500,83600,74000
600,104600,91800
600,90901,72400
600,221800,72800
600,77300,72300
600,266100,77000
600,76000,77000
600,79400,78200
600,398000,163700
600,72100,73600
600,151600,165700
700,77900,75500
700,157700,128601
700,78200,74901
700,92300,74400
700,86600,92000
700,220000,93500
700,74900,74300
700,243000,74000
700,219300,72600
700,106801,92600
800,73701,75200
800,111200,84800
800,227400,162801
800,216600,119900
800,76300,76800
800,93800,80300
800,77300,75300
800,98500,111100
800,79100,108200
800,75000,74300
900,260101,96700
900,81500,79500
900,83400,92400
900,117900,76400
900,221000,71300
900,269301,75300
900,82000,98501
900,81600,75900
900,78201,75800
900,77300,76201
1000,278600,78700
1000,96100,82100
1000,85800,86501
1000,106000,81600
1000,82801,76900
1000,79400,99100
1000,96700,112000
1000,99700,95300
1000,80301,75300
1000,84201,79500
