Pallet: "pallet-timestamp", Extrinsic: "set", Lowest values: [], Highest values: [], Steps: [10], Repeat: 10
n,extrinsic_time,storage_root_time
1,67400,46200
1,66000,47700
1,64800,42400
1,77900,51500
1,144600,59801
1,219701,52400
1,71300,48900
1,205600,52500
1,72100,50300
1,71200,50100
10,69300,48500
10,71101,48500
10,287900,51800
10,70600,45500
10,71900,50700
10,70700,45600
10,70000,48500
10,89700,65800
10,104800,48300
10,238800,49800
19,70600,47600
19,67700,47300
19,69700,48800
19,102700,46600
19,68800,46600
19,66200,49400
19,65500,43000
19,105000,53400
19,67400,46400
19,85900,66200
28,66900,45900
28,68000,46700
28,84700,52300
28,225000,51700
28,239601,52600
28,228501,67200
28,85800,49100
28,103400,63200
28,98300,74700
28,68400,46200
37,258200,86200
37,74900,49800
37,71100,56000
37,62100,42300
37,97600,40000
37,268500,51500
37,67200,64500
37,92200,50600
37,68900,47200
37,84900,49900
46,72500,65600
46,116500,51900
46,208600,46900
46,213300,50000
46,74800,67400
46,69700,47100
46,76300,50300
46,197900,52700
46,70900,47400
46,214900,52700
55,68200,47200
55,72400,51100
55,93000,52400
55,64200,92500
55,65900,48300
55,65600,78400
55,188200,44200
55,88500,64200
55,68601,66100
55,87000,52200
64,97300,47600
64,68300,63200
64,70700,49300
64,79900,50100
64,69100,65800
64,68800,46900
64,197600,50200
64,99300,49000
64,66300,45500
64,67400,63600
73,67900,69200
73,140200,50000
73,65000,44800
73,66000,45700
73,66800,44100
73,79600,49300
73,67000,43800
73,71500,49900
73,74600,50700
73,73400,50800
82,67600,47600
82,64200,44900
82,164100,65500
82,172501,58300
82,67300,47200
82,320300,57700
82,66000,46300
82,149700,67000
82,63700,61300
82,264600,50300
91,106800,66000
91,82600,49700
91,68100,45400
91,121200,48200
91,62100,41600
91,62200,42100
91,89400,44100
91,87100,50700
91,70500,64200
91,86700,67600
100,105900,68500
100,65900,66301
100,69400,46600
100,122700,55400
100,85200,67200
100,71401,51400
100,173200,46100
100,69000,48700
100,121900,69200
100,62300,42700
