Pallet: "pallet-balances", Extrinsic: "set_balance", Lowest values: [], Highest values: [], Steps: [10], Repeat: 10
u,e,extrinsic_time,storage_root_time
1,1000,3084070,123007
1,1000,2851756,130808
1,1000,4475946,171810
1,1000,3036767,135508
1,1000,4836966,201811
1,1000,3752706,124807
1,1000,4024721,124807
1,1000,3239878,124407
1,1000,3442889,125007
1,1000,2997065,124707
100,1000,4054023,167409
100,1000,2804455,115606
100,1000,3021466,121907
100,1000,3532594,123007
100,1000,3611799,121507
100,1000,5240388,220512
100,1000,3145273,121107
100,1000,5012576,191410
100,1000,4226532,165409
100,1000,2893559,125407
199,1000,2950762,125307
199,1000,2927461,125907
199,1000,3322383,192910
199,1000,3713804,155308
199,1000,3103471,130907
199,1000,4148028,208412
199,1000,4443444,128007
199,1000,2869558,123906
199,1000,5208886,204111
199,1000,4878568,201011
298,1000,4126127,152308
298,1000,2926861,125207
298,1000,4657156,128607
298,1000,2923860,114807
298,1000,2571141,106806
298,1000,2992365,124306
298,1000,4049322,155009
298,1000,2999765,118107
298,1000,4569551,188110
298,1000,4261635,176009
397,1000,3526793,126407
397,1000,2831655,129608
397,1000,4912770,206812
397,1000,3797109,130607
397,1000,2948362,125907
397,1000,2903460,127207
397,1000,2996665,119407
397,1000,3722805,129707
397,1000,2889859,128307
397,1000,4842466,274015
496,1000,3973518,159808
496,1000,3360585,134107
496,1000,5283490,191811
496,1000,5074179,170909
496,1000,2869758,114506
496,1000,4895169,192010
496,1000,3691602,122006
496,1000,3010866,120706
496,1000,2994064,122007
496,1000,2833456,114006
595,1000,4172629,114306
595,1000,2800253,120707
595,1000,2890459,123707
595,1000,3102870,133307
595,1000,3068769,132607
595,1000,4334638,179310
595,1000,3792209,160909
595,1000,2909060,126607
595,1000,3059868,124207
595,1000,4885668,200811
694,1000,4786963,198511
694,1000,3030567,127007
694,1000,3308782,120907
694,1000,4697858,125507
694,1000,3523194,198511
694,1000,2907560,121207
694,1000,3456090,146508
694,1000,2721549,107206
694,1000,4799563,199811
694,1000,3576796,124807
793,1000,4843566,116707
793,1000,3990919,193211
793,1000,2698948,141108
793,1000,2902760,137307
793,1000,4852567,203011
793,1000,4797463,123507
793,1000,4963573,232513
793,1000,2538240,116606
793,1000,3236778,160309
793,1000,5648910,204111
892,1000,3071569,125607
892,1000,3518393,105506
892,1000,3051268,130407
892,1000,3052067,271515
892,1000,4043622,172810
892,1000,2880358,126007
892,1000,3173375,131407
892,1000,3222177,127707
892,1000,3730005,156708
892,1000,3885414,162509
991,1000,2982764,129607
991,1000,3579197,143208
991,1000,3020566,126607
991,1000,2850257,126607
991,1000,4809364,205411
991,1000,3924615,128007
991,1000,2731551,125306
991,1000,3382786,124307
991,1000,4845166,206411
991,1000,2845956,126307
1000,2,4794663,201611
1000,2,3113172,123706
1000,2,4798164,203011
1000,2,3186575,123107
1000,2,4325838,124707
1000,2,4906169,124207
1000,2,4634655,120606
1000,2,3698003,124507
1000,2,2839156,128407
1000,2,3066368,125806
1000,101,3232377,136308
1000,101,2801754,118606
1000,101,5620809,210011
1000,101,3466891,150008
1000,101,4813765,202911
1000,101,3745606,155408
1000,101,3827610,164309
1000,101,3105971,136308
1000,101,3892114,163409
1000,101,2450434,110106
1000,200,5207986,201911
1000,200,3843811,127607
1000,200,2878958,129607
1000,200,3521794,127307
1000,200,4494447,125607
1000,200,4207331,178810
1000,200,3665602,112706
1000,200,3006465,131407
1000,200,2876458,110806
1000,200,3133372,135507
1000,299,2860157,113606
1000,299,3428088,124307
1000,299,3257279,309117
1000,299,2899060,121706
1000,299,4000919,122607
1000,299,3376686,150808
1000,299,4345439,117007
1000,299,3142372,128108
1000,299,3306582,146708
1000,299,3850012,129207
1000,398,3537394,127607
1000,398,2608744,127607
1000,398,2846157,119906
1000,398,3726104,152409
1000,398,2837856,133107
1000,398,3106470,127807
1000,398,3478691,117207
1000,398,4743161,314317
1000,398,3369185,126507
1000,398,2875858,127207
1000,497,4880268,205511
1000,497,2746651,127407
1000,497,2953863,118206
1000,497,3530394,154009
1000,497,3156973,133107
1000,497,3032266,133007
1000,497,3021466,124407
1000,497,3284781,137807
1000,497,3538695,151108
1000,497,2936161,153609
1000,596,2818755,128007
1000,596,3978719,205511
1000,596,4765862,205611
1000,596,2862657,129508
1000,596,2832156,120106
1000,596,3559896,151108
1000,596,4683357,122307
1000,596,3740805,127407
1000,596,3255479,154908
1000,596,2689348,120707
1000,695,4643955,182410
1000,695,4863867,203411
1000,695,3352984,131508
1000,695,3294781,124506
1000,695,2824655,157709
1000,695,3852111,210312
1000,695,3566096,150208
1000,695,3690003,130807
1000,695,4027622,136407
1000,695,2906760,130707
1000,794,4933171,205311
1000,794,3978918,164709
1000,794,4988674,201711
1000,794,3885013,170510
1000,794,2967763,131007
1000,794,4228832,129407
1000,794,2993765,130907
1000,794,3350884,128707
1000,794,4001120,165009
1000,794,3081569,127607
1000,893,3911515,128707
1000,893,2983464,129408
1000,893,4743460,173410
1000,893,4068724,167509
1000,893,2893159,129007
1000,893,3172174,249514
1000,893,3283781,122806
1000,893,3026066,126607
1000,893,3423088,120007
1000,893,2917960,127707
1000,992,3849311,119707
1000,992,2920061,117006
1000,992,3349884,140007
1000,992,4819065,204211
1000,992,2949562,127707
1000,992,4130727,167209
1000,992,2841956,123807
1000,992,3258179,138208
1000,992,4020821,171509
1000,992,3671202,119807
