Pallet: "pallet-balances", Extrinsic: "transfer", Lowest values: [], Highest values: [], Steps: [10], Repeat: 10
u,e,extrinsic_time,storage_root_time
1,1000,14454796,2866958
1,1000,15764968,2492837
1,1000,14867718,2639946
1,1000,15961978,2704649
1,1000,16695719,2834756
1,1000,15029027,2567741
1,1000,17694774,2571741
1,1000,16232993,2689948
1,1000,15641861,2564041
1,1000,15430349,3017366
100,1000,16728421,2462536
100,1000,15143234,2568241
100,1000,15140133,2468036
100,1000,17511964,2641245
100,1000,15388647,2558541
100,1000,15983280,2697548
100,1000,18651927,2589342
100,1000,16294097,2630844
100,1000,16289397,2576042
100,1000,17207947,2862958
199,1000,18495518,2541340
199,1000,17378757,3350684
199,1000,19201557,2538339
199,1000,15749467,2743851
199,1000,17873983,2402632
199,1000,16861928,2614444
199,1000,15563556,3116772
199,1000,18430315,2527239
199,1000,16276095,2762252
199,1000,16038882,2522539
298,1000,15626060,2408632
298,1000,14623504,2485837
298,1000,15480752,2482137
298,1000,17131943,2486937
298,1000,17026637,2671747
298,1000,14283586,2417133
298,1000,21265070,2573342
298,1000,18248805,2730950
298,1000,14991025,2563841
298,1000,18484717,2553641
397,1000,18629725,4108826
397,1000,14626105,2565041
397,1000,18069294,2568041
397,1000,18786134,3401187
397,1000,15061229,2736551
397,1000,15695464,2572942
397,1000,15699664,2720850
397,1000,16375801,2657746
397,1000,22212922,2446935
397,1000,16055583,2544640
496,1000,13111521,139308
496,1000,12645196,138107
496,1000,15646261,136407
496,1000,16524209,141108
496,1000,13753257,143308
496,1000,14695209,130007
496,1000,13153124,135707
496,1000,17615969,141908
496,1000,13133623,137208
496,1000,13249929,141607
595,1000,21380777,2620544
595,1000,18325709,2673347
595,1000,15395647,2646645
595,1000,15404948,2669046
595,1000,15883174,2873558
595,1000,14992725,2493137
595,1000,17230548,2561241
595,1000,14364490,2501938
595,1000,16164789,2548340
595,1000,16106086,2589942
694,1000,13727055,119907
694,1000,13325933,126607
694,1000,13720955,129708
694,1000,14369391,127707
694,1000,15233438,123107
694,1000,14954522,129007
694,1000,13197826,144908
694,1000,15562356,128907
694,1000,13226928,135408
694,1000,13536645,243713
793,1000,15825871,128907
793,1000,13593248,127807
793,1000,13624850,130707
793,1000,12167470,134007
793,1000,12549791,122007
793,1000,15392047,127607
793,1000,13890564,130107
793,1000,17091841,130607
793,1000,15206936,156409
793,1000,16096385,130207
892,1000,15492952,2790054
892,1000,16111987,2426933
892,1000,17162144,2621444
892,1000,16138988,2607644
892,1000,16005481,2724850
892,1000,15893974,2574542
892,1000,16418003,3395286
892,1000,18495617,2783054
892,1000,15182436,2461335
892,1000,16090686,2842856
991,1000,15037127,2757852
991,1000,16720620,2609244
991,1000,15809570,2829456
991,1000,15486152,2656646
991,1000,15993180,2571641
991,1000,16970234,2714049
991,1000,18150399,2556141
991,1000,21953208,2648246
991,1000,15536855,2526839
991,1000,19568576,3149574
1000,2,16498207,2747252
1000,2,15095730,2601543
1000,2,15303142,2729550
1000,2,19134853,2575241
1000,2,16866028,2501538
1000,2,17443459,2616344
1000,2,15145033,2656746
1000,2,15248539,2841156
1000,2,15238039,2630845
1000,2,18226203,2584642
1000,101,15462151,2588642
1000,101,16211992,2568741
1000,101,17022436,2758352
1000,101,15598759,5314392
1000,101,15288441,2634945
1000,101,16968034,2619944
1000,101,16938032,2633845
1000,101,18704429,2584542
1000,101,15975079,2534539
1000,101,15229637,2731550
1000,200,15941777,2789654
1000,200,15760067,2639545
1000,200,16134588,2550440
1000,200,16006480,2831656
1000,200,18794933,2626044
1000,200,15661762,2624044
1000,200,15860373,4522049
1000,200,15015726,2446434
1000,200,18501818,2607143
1000,200,16729321,2597643
1000,299,16359600,2708149
1000,299,18064393,2609344
1000,299,17810680,3066068
1000,299,16592513,2760452
1000,299,17584967,2972064
1000,299,21165965,2836156
1000,299,20655036,2605943
1000,299,17218448,2686447
1000,299,18325708,3650601
1000,299,18365111,2599043
1000,398,17121042,2589742
1000,398,15871073,2656046
1000,398,18824336,2607643
1000,398,15753267,2384531
1000,398,15853272,2605643
1000,398,18652726,2631045
1000,398,17675272,2598143
1000,398,15889774,2787253
1000,398,15227738,2716149
1000,398,15031527,2665947
1000,497,16784823,2592043
1000,497,15660062,2562041
1000,497,15053328,2757552
1000,497,16255594,2585842
1000,497,19636281,2586342
1000,497,16934632,2665346
1000,497,16684218,2612443
1000,497,17261050,2525739
1000,497,15117032,2590543
1000,497,16239493,2550840
1000,596,17306952,2576841
1000,596,16200091,2661546
1000,596,15740565,2709350
1000,596,15005725,2614144
1000,596,15466651,2685347
1000,596,15902174,2821956
1000,596,15796969,2731950
1000,596,16112186,2947662
1000,596,16762522,2248423
1000,596,15456450,2656446
1000,695,16066784,2647645
1000,695,14960423,2857757
1000,695,15736665,2662147
1000,695,17548565,2594243
1000,695,16072184,2971864
1000,695,15435249,2570541
1000,695,15961478,2485037
1000,695,16997535,2551741
1000,695,15697763,2657246
1000,695,17545165,2711349
1000,794,17785178,2799054
1000,794,15048428,2585342
1000,794,15683863,2573142
1000,794,15955478,2869758
1000,794,21121262,2628245
1000,794,16713319,2624144
1000,794,15502253,2557041
1000,794,15037127,2589842
1000,794,15491853,2579641
1000,794,21147764,3302181
1000,893,15297041,2581542
1000,893,15797669,2532040
1000,893,15435749,2483637
