Pallet: "pallet-balances", Extrinsic: "transfer_best_case", Lowest values: [], Highest values: [], Steps: [10], Repeat: 10
u,e,extrinsic_time,storage_root_time
1,1000,4982274,117507
1,1000,4934371,185910
1,1000,3098370,107105
1,1000,2892059,116107
1,1000,2899559,114607
1,1000,3863512,110906
1,1000,3819410,103806
1,1000,3083470,122607
1,1000,3701403,136907
1,1000,3865613,107006
100,1000,3184375,122707
100,1000,3170474,121507
100,1000,3058768,121807
100,1000,3412187,126507
100,1000,3037668,122106
100,1000,3026066,120407
100,1000,4966273,194211
100,1000,5046078,201111
100,1000,3941017,151208
100,1000,2811354,123307
199,1000,3368985,138408
199,1000,3999820,123207
199,1000,3212076,125707
199,1000,3428589,109606
199,1000,3186476,121906
199,1000,4793364,122507
199,1000,4400242,169210
199,1000,3363785,124907
199,1000,3940617,125507
199,1000,4978274,198211
298,1000,4387441,119407
298,1000,3594297,138908
298,1000,3280081,120106
298,1000,3063168,119007
298,1000,4160829,113606
298,1000,3565796,187811
298,1000,3089970,116807
298,1000,3136072,119107
298,1000,3018966,118607
298,1000,4947272,189311
397,1000,3826111,117906
397,1000,4274535,168909
397,1000,3269780,132407
397,1000,5104381,188410
397,1000,3616099,117807
397,1000,4290035,132408
397,1000,4523849,116107
397,1000,2951962,117706
397,1000,4966473,195611
397,1000,5007375,188410
496,1000,4391742,123007
496,1000,2849756,111807
496,1000,5676412,252514
496,1000,3986519,150709
496,1000,3766208,147908
496,1000,3224577,118907
496,1000,3231878,107906
496,1000,3174575,123207
496,1000,4141428,130907
496,1000,2745351,111706
595,1000,2851156,110506
595,1000,3408587,118907
595,1000,2888959,120007
595,1000,3470591,136307
595,1000,3101371,119506
595,1000,3282481,125307
595,1000,4148928,119507
595,1000,3967318,154909
595,1000,3992220,121207
595,1000,3053468,121807
694,1000,3174075,114606
694,1000,3174375,110706
694,1000,4460145,161609
694,1000,3774608,113006
694,1000,4206331,152509
694,1000,2934061,114107
694,1000,3117771,114507
694,1000,3845712,110506
694,1000,3745206,136908
694,1000,2966463,114406
793,1000,3677403,203711
793,1000,2936961,117407
793,1000,3158874,115806
793,1000,3055668,116406
793,1000,5407797,115106
793,1000,4947872,178110
793,1000,3017666,154709
793,1000,3719604,133807
793,1000,3028467,114806
793,1000,4787364,129507
892,1000,2987064,152308
892,1000,4382441,175009
892,1000,3241678,136308
892,1000,3553195,128607
892,1000,2960463,123507
892,1000,5084280,208012
892,1000,4640555,118907
892,1000,3255479,182510
892,1000,4006420,163009
892,1000,3195876,114506
991,1000,3015966,129407
991,1000,3950518,161609
991,1000,3098771,128407
991,1000,3833811,120206
991,1000,2861857,125207
991,1000,3629800,259814
991,1000,3563996,126907
991,1000,3626499,129108
991,1000,2980363,304817
991,1000,3590798,145008
1000,2,3093870,126007
1000,2,4145628,127607
1000,2,3619599,124706
1000,2,3769507,128107
1000,2,4664757,127007
1000,2,4442144,118307
1000,2,3752306,154909
1000,2,3913615,155409
1000,2,3179975,127307
1000,2,4970873,221813
1000,101,3164874,126607
1000,101,4068624,150608
1000,101,4777863,207711
1000,101,3824810,126707
1000,101,3613999,128607
1000,101,3498193,150208
1000,101,3955218,147508
1000,101,3654301,123106
1000,101,3707003,128108
1000,101,3144772,126806
1000,200,3137273,126507
1000,200,3243278,127607
1000,200,4725360,130707
1000,200,3599298,152108
1000,200,2941761,135208
1000,200,3249178,121107
1000,200,3520894,128207
1000,200,4247234,169109
1000,200,3755407,127307
1000,200,3088469,161409
1000,299,3454890,126107
1000,299,3057468,126207
1000,299,3663102,146108
1000,299,4908170,200611
1000,299,4976773,125007
1000,299,3069469,127407
1000,299,4574551,171009
1000,299,3225477,215812
1000,299,3539395,143108
1000,299,4431744,180610
1000,398,3057768,128207
1000,398,3480692,126607
1000,398,3795008,129307
1000,398,3457390,128708
1000,398,5332493,198311
1000,398,3002565,125107
1000,398,3735805,125507
1000,398,4889869,128207
1000,398,3397186,124407
1000,398,4943271,199411
1000,497,5684612,191511
1000,497,3741306,127007
1000,497,3487292,159109
1000,497,3941617,119907
1000,497,3041267,131107
1000,497,3405387,118606
1000,497,3410988,143908
1000,497,3226777,128207
1000,497,2868058,125307
1000,497,3360585,164109
1000,596,4894069,198611
1000,596,4123627,164309
1000,596,4340939,125607
1000,596,3117771,127107
1000,596,3497892,131007
1000,596,3733805,123407
1000,596,4524449,119106
1000,596,4499047,128407
1000,596,3607398,150809
1000,596,4109926,164509
1000,695,3634599,129308
1000,695,3909715,128507
1000,695,3048668,118807
1000,695,3214077,133007
1000,695,3144373,129307
1000,695,3008265,134307
1000,695,4472046,200811
1000,695,4835666,129307
1000,695,3169475,129207
1000,695,3302982,150108
1000,794,3868613,130007
1000,794,4638855,120507
1000,794,2922761,125607
1000,794,3269380,131707
1000,794,3725505,126207
1000,794,5357695,191311
1000,794,4107026,131608
1000,794,3155173,124906
1000,794,5193485,200911
1000,794,2953763,128507
1000,893,2996064,127507
1000,893,4362539,179310
1000,893,5059178,198811
1000,893,4989674,127907
1000,893,3897614,126307
1000,893,3111471,130808
1000,893,4189631,125907
1000,893,4674457,187710
1000,893,3762707,125407
1000,893,4222132,123807
1000,992,2948662,186610
1000,992,3403587,129507
1000,992,4945672,200211
1000,992,4728160,186511
1000,992,3266879,130608
1000,992,2932561,128708
1000,992,3903215,165909
1000,992,3295881,131208
1000,992,4004620,161209
1000,992,4436044,123207
