Pallet: "pallet-balances", Extrinsic: "transfer_keep_alive", Lowest values: [], Highest values: [], Steps: [10], Repeat: 10
u,e,extrinsic_time,storage_root_time
1,1000,13188925,2540240
1,1000,11410527,3007466
1,1000,12615994,2544140
1,1000,13143823,2705149
1,1000,12376880,2550940
1,1000,13480741,2677948
1,1000,14517298,2569741
1,1000,13653151,2632344
1,1000,12527289,2568641
1,1000,11101010,2597843
100,1000,11324623,2494737
100,1000,10649985,2541140
100,1000,11705244,3042467
100,1000,14857417,3333583
100,1000,11642740,2539239
100,1000,10136857,2582542
100,1000,13783258,2586642
100,1000,12068863,2500138
100,1000,12417683,2548140
100,1000,13160024,2577741
199,1000,13049117,2569541
199,1000,11113711,2566141
199,1000,10327267,2502838
199,1000,11236718,2550940
199,1000,11373125,2655946
199,1000,14134277,2559941
199,1000,11796548,2746951
199,1000,10587982,2745551
199,1000,10464175,2849057
199,1000,12802103,2689347
298,1000,12680497,2542340
298,1000,10688388,2608143
298,1000,12374880,2632045
298,1000,10290766,2707949
298,1000,13107521,2573541
298,1000,13950666,2652645
298,1000,12982514,2803654
298,1000,12268374,2527939
298,1000,10362970,2581442
298,1000,11314822,8639075
397,1000,13348134,2471336
397,1000,13458140,2592843
397,1000,11096810,2550641
397,1000,11232418,2433734
397,1000,10711089,2616544
397,1000,10996404,2512938
397,1000,11026306,2546240
397,1000,11141313,2471136
397,1000,11138412,2639645
397,1000,11682243,3029266
496,1000,10178759,116607
496,1000,8118146,118506
496,1000,8409462,120307
496,1000,8766482,126707
496,1000,11136312,111506
496,1000,8102645,125306
496,1000,10274064,114607
496,1000,9207507,115706
496,1000,8197151,163409
496,1000,8149348,116507
595,1000,14476195,2586343
595,1000,14047572,2567741
595,1000,11680842,2536340
595,1000,11199416,2558641
595,1000,11844551,2586742
595,1000,11467631,2597042
595,1000,10464075,2744251
595,1000,12612893,2532539
595,1000,10561780,2537140
595,1000,10597583,2530739
694,1000,7886834,111206
694,1000,8875888,105906
694,1000,11598338,113806
694,1000,8973193,123707
694,1000,11628739,125607
694,1000,9303411,116706
694,1000,8736280,111006
694,1000,7761726,103606
694,1000,8029541,106506
694,1000,9333213,112906
793,1000,11383825,103406
793,1000,8484467,103505
793,1000,8109146,113906
793,1000,11142212,108006
793,1000,9234708,111906
793,1000,8631974,108106
793,1000,7929736,110206
793,1000,8780883,110406
793,1000,8027242,109606
793,1000,8053942,111006
892,1000,12930411,2512138
892,1000,10925101,2614144
892,1000,13583147,4742860
892,1000,10379671,2591642
892,1000,12751401,2517439
892,1000,10707488,2590342
892,1000,10301766,2576442
892,1000,10411672,2559641
892,1000,10721090,2916860
892,1000,16963832,2734551
991,1000,13654950,2551441
991,1000,10774293,2554340
991,1000,14405591,3002565
991,1000,26008730,2654545
991,1000,12845906,2757151
991,1000,11077708,2860558
991,1000,11956058,2568041
991,1000,13080819,2464435
991,1000,11241418,2552640
991,1000,13069718,2587142
1000,2,11610338,2531139
1000,2,10409672,2582542
1000,2,10650485,2598743
1000,2,10756791,2545140
1000,2,12296176,2592342
1000,2,13466240,2650745
1000,2,14677306,2595743
1000,2,10627784,2496137
1000,2,11602638,2551540
1000,2,10406572,2496638
1000,101,13776657,2566141
1000,101,10787793,2629144
1000,101,12512188,2554741
1000,101,12813404,2570441
1000,101,10809894,2443035
1000,101,13280530,2749051
1000,101,11466530,2801753
1000,101,10755891,2553540
1000,101,10295966,2544140
1000,101,11410427,2522139
1000,200,11767747,2591642
1000,200,11617139,2838056
1000,200,11362725,2579542
1000,200,13995470,2792053
1000,200,12668097,2528139
1000,200,10278064,2661446
1000,200,10408472,2589542
1000,200,12574091,2572942
1000,200,12940612,2597142
1000,200,10994004,2609743
1000,299,14784712,2727650
1000,299,10371470,2597243
1000,299,11007605,2583842
1000,299,15296941,2668947
1000,299,11681142,3788409
1000,299,11995859,2772552
1000,299,10238463,2618744
1000,299,10490176,2631645
1000,299,10942301,2555141
1000,299,10962803,2562541
1000,398,12186970,2596943
1000,398,10350369,2909060
1000,398,12316477,2569141
1000,398,13021116,2498937
1000,398,12111666,2510638
1000,398,11672842,2602743
1000,398,11944857,2728450
1000,398,11710444,2565941
1000,398,12871707,2719549
1000,398,13529043,2605443
1000,497,10652885,2536839
1000,497,11002905,2530239
1000,497,13401636,2512538
1000,497,10514978,2460536
1000,497,11712844,2571642
1000,497,10616684,2593743
1000,497,10534179,2473936
1000,497,10832796,2620444
1000,497,10472076,2515538
1000,497,10667186,2510537
1000,596,12834605,2756152
1000,596,12523388,2716850
1000,596,12454984,2514338
1000,596,12820105,2609143
1000,596,10474976,2605943
1000,596,10606483,2608744
1000,596,10866097,2548340
1000,596,11457630,2566541
1000,596,10597083,2509638
1000,596,10667286,2584642
1000,695,12583892,2951362
1000,695,13375835,2478136
1000,695,10891999,2855457
1000,695,11032006,2500937
1000,695,11309621,2449835
1000,695,10450874,2500637
1000,695,12814704,2724150
1000,695,10380471,2368430
1000,695,10547080,2561041
1000,695,12990914,2567241
1000,794,14737510,2582542
1000,794,12744200,2647446
1000,794,12637395,2602543
1000,794,12747000,2457035
1000,794,11178414,2463336
1000,794,11814750,3685302
1000,794,12323777,2567641
1000,794,13964868,2633244
1000,794,10509178,2603943
1000,794,10523478,3277080
1000,893,11440429,2595543
1000,893,14951422,7182895
1000,893,10869998,2551940
1000,893,10494277,2696548
1000,893,12460485,2596942
1000,893,11664741,2540540
1000,893,13447439,2577742
1000,893,11113211,2997965
1000,893,10445174,2611043
1000,893,11538534,2786353
1000,992,13823360,2584742
1000,992,12230573,2456735
1000,992,11451329,2588242
1000,992,10755391,2504237
1000,992,12150567,3035067
1000,992,11642040,2700348
1000,992,10974903,2589142
1000,992,10894299,2669547
1000,992,11300821,6046632
1000,992,11470130,2586043
