Pallet: "pallet-identity", Extrinsic: "add_registrar", Lowest values: [], Highest values: [], Steps: [10], Repeat: 10
r,extrinsic_time,storage_root_time
1,2824545,83605
1,2725041,78604
1,4853450,136207
1,2887949,88904
1,3305971,96105
1,3511982,100605
1,2771943,99005
1,4734344,135107
1,3444778,86304
1,2766843,85705
5,3342873,96805
5,4035708,88804
5,2806345,90405
5,3767695,109706
5,4171815,90105
5,4764746,141108
5,5011359,139907
5,3544383,88804
5,4802548,141608
5,3390475,105706
9,4465331,135707
9,2863048,93705
9,4736045,131707
9,3362574,91504
9,3737694,112506
9,4748846,141607
9,3022157,91905
9,3052958,98405
9,3905402,94105
9,2847347,91305
13,2835547,97405
13,2830547,94205
13,4283622,129907
13,4683042,94305
13,3061458,95405
13,4973357,151708
13,4049909,128807
13,3404776,92405
13,2898650,97405
13,3006956,95005
17,4847752,154808
17,2928451,98305
17,4763047,153008
17,3240668,131307
17,4830150,152807
17,5224571,159908
17,4855552,156808
17,4069211,131006
17,2882550,99705
17,4492232,98805
21,3586086,165609
21,4595138,146808
21,3665790,120706
21,4813050,96705
21,3765595,97705
21,3066659,105506
21,3179665,104405
21,3424677,109006
21,3501081,110106
21,4199118,132806
25,3316772,146707
25,4870853,158208
25,4814150,160008
25,2930152,98805
25,3654690,175609
25,2890750,102505
25,3369175,100805
25,3797798,179609
25,3999008,101406
25,2992855,97005
29,3472881,118306
29,3321872,111906
29,2867949,130806
29,2936653,94805
29,4797550,253313
29,4636141,102705
29,4784549,153108
29,2858049,101505
29,2831847,117006
29,4349726,117606
33,3044759,130306
33,3329374,112206
33,4102213,100606
33,3098061,105706
33,2802946,97805
33,3176665,105206
33,3761896,104905
33,3666392,107205
33,4321525,275314
33,5203272,107205
37,3765296,132706
37,3462781,107005
37,12223637,111305
37,3918505,107106
37,4412630,101705
37,2901252,102805
37,5193071,172309
37,4951359,169209
37,3370176,118606
37,2975455,105806
41,3091961,111505
41,2823147,319317
41,3203068,112906
41,3953307,123306
41,2943354,111506
41,4100115,138507
41,2945854,91205
41,2999257,109105
41,2842849,107206
41,4314926,104405
45,4033611,140807
45,3500183,103405
45,5322578,173109
45,3244769,173410
45,3043060,108106
45,5064165,108406
45,2902852,104705
45,2918353,108706
45,4136717,143307
45,3022258,107106
49,2996657,108906
49,3240269,110106
49,3593988,148208
49,4064113,112206
49,3099762,168909
49,4063013,111506
49,4298526,146407
49,2947454,109806
49,2768145,103706
49,3122364,108506
