Pallet: "pallet-identity", Extrinsic: "set_fee", Lowest values: [], Highest values: [], Steps: [10], Repeat: 10
r,extrinsic_time,storage_root_time
1,129907,75104
1,131207,72904
1,124506,73604
1,140408,76204
1,125907,73604
1,122106,72204
1,119907,70904
1,121707,73604
1,117406,63704
1,119007,72604
5,116906,72004
5,102805,50703
5,147308,68704
5,102505,63104
5,90205,51003
5,97305,51503
5,110506,60403
5,138108,48002
5,112606,63603
5,135008,76504
9,102806,48903
9,107906,51003
9,117806,62303
9,128507,70404
9,119707,62603
9,134407,111507
9,127107,50403
9,137807,140108
9,95705,49703
9,104006,54103
13,118706,61304
13,131108,51702
13,148709,79304
13,142108,78504
13,101506,52003
13,117806,59903
13,128407,65004
13,99506,51303
13,112206,62504
13,141808,78304
17,105006,54203
17,151208,81005
17,367020,54903
17,113906,55003
17,121707,60703
17,149609,89005
17,149908,79804
17,147708,79304
17,155008,82005
17,106906,125107
21,119607,56103
21,155008,64104
21,163809,84704
21,132807,64104
21,145708,81004
21,161709,84505
21,139407,71003
21,159109,83904
21,106106,57503
21,155109,83204
25,116406,60404
25,113106,52303
25,108206,53403
25,160509,83205
25,163709,120107
25,160109,54403
25,166309,84405
25,131007,64403
25,165109,82505
25,169909,84505
29,110206,53903
29,174809,88705
29,172410,86104
29,175409,85505
29,125907,57503
29,151608,72203
29,174610,85804
29,174210,86904
29,125007,56103
29,171710,86005
33,184510,80605
33,126107,57403
33,176809,85505
33,174909,81705
33,128107,58203
33,121407,56803
33,131307,58703
33,173610,94805
33,177410,85804
33,167109,82305
37,186310,87305
37,132307,63004
37,163509,73404
37,135707,62004
37,179510,86905
37,103606,48603
37,120206,58403
37,226713,86605
37,122307,56303
37,183310,126807
41,192211,90505
41,173210,85704
41,145808,67003
41,163509,77105
41,179609,85905
41,200011,89805
41,185810,92805
41,180610,88505
41,177410,84504
41,181910,86705
45,134407,64604
45,163709,74304
45,132507,65404
45,189810,77304
45,193411,87704
45,158209,71804
45,199410,91005
45,158309,70904
45,185810,87805
45,124307,56103
49,178210,82405
49,190810,89405
49,192210,200811
49,201011,387521
49,147708,61503
49,144708,64804
49,179210,90005
49,137508,60203
49,158309,61503
49,200511,92705
