Pallet: "pallet-staking", Extrinsic: "chill", Lowest values: [], Highest values: [], Steps: [10], Repeat: 10
u,extrinsic_time,storage_root_time
0,144808,76304
0,177009,95206
0,166709,93105
0,127507,56203
0,157708,86405
0,117407,57403
0,124907,61704
0,157008,81505
0,177010,94305
0,169610,88204
100,148008,72504
100,161208,82404
100,128407,60703
100,176509,93605
100,180210,95505
100,167509,92305
100,183410,93305
100,179610,94505
100,179510,93705
100,153209,78404
200,128006,61003
200,183410,96905
200,126407,62103
200,183710,94805
200,122006,62904
200,182710,96005
200,124707,62204
200,128207,61204
200,126907,61803
200,120806,61604
300,146508,74604
300,134007,68804
300,173309,146008
300,129107,63903
300,116206,61904
300,134807,60303
300,113106,60903
300,158709,84505
300,125907,54103
300,515428,92005
400,162309,90105
400,167709,90605
400,217112,94205
400,104806,52902
400,169609,92605
400,171109,81404
400,117407,58303
400,116706,64303
400,150208,77404
400,171409,92605
500,115306,55303
500,123207,70204
500,130107,57304
500,175309,130508
500,173509,94605
500,170409,92905
500,167009,94505
500,112306,54803
500,176109,93206
500,120206,61204
600,173409,95005
600,159209,80404
600,167609,91405
600,225713,95205
600,181310,94905
600,134707,67904
600,118906,58703
600,537329,95406
600,111606,60003
600,109206,86005
700,164309,91605
700,129907,69104
700,146608,77105
700,164309,91805
700,223212,91505
700,104005,53703
700,166409,70304
700,103406,60803
700,156709,92105
700,106706,57203
800,163109,93305
800,170809,92405
800,116606,60903
800,173009,94905
800,165109,92405
800,112206,44803
800,200311,90805
800,164909,93405
800,117306,58903
800,144808,78704
900,165409,91405
900,127007,68704
900,130807,72004
900,131707,57003
900,164709,91705
900,137108,74404
900,149008,74504
900,191311,95805
900,160609,52902
900,186910,95706
1000,184410,98605
1000,180910,94705
1000,177010,97205
1000,177210,97805
1000,182610,97605
1000,159009,82904
1000,136207,67604
1000,186710,99806
1000,125806,95105
1000,181210,102305
