Pallet: "pallet-staking", Extrinsic: "do_slash", Lowest values: [], Highest values: [], Steps: [10], Repeat: 10
l,extrinsic_time,storage_root_time
1,4801165,277315
1,2933161,156409
1,3519794,162909
1,3067469,169109
1,4008821,136008
1,2744651,189610
1,3619599,205612
1,2832956,161309
1,3864913,132207
1,5342594,237613
100,3201577,119506
100,3701904,270915
100,3199876,135207
100,9874045,216212
100,4965974,157609
100,2697649,152809
100,5114482,280515
100,2942662,154509
100,2666547,172610
100,3531494,205211
199,5145784,259214
199,2792554,190111
199,5396998,274515
199,4792865,166709
199,4327738,166410
199,5115582,280515
199,3923417,224012
199,4723760,276516
199,4916571,275415
199,3027267,161609
298,3653102,175209
298,5567207,286615
298,4822566,266215
298,5196787,175509
298,3645001,209511
298,4894570,282516
298,5004076,279416
298,4953873,278315
298,5107081,173510
298,5315893,282815
397,2996665,175710
397,5093681,290216
397,3504593,178210
397,2868859,193410
397,3502494,200011
397,3167175,178810
397,2957763,172109
397,2873158,159109
397,3795409,217612
397,2787553,434524
496,3875313,179410
496,4959374,284815
496,4957774,307017
496,4568852,240713
496,4202432,282315
496,6515459,293716
496,2899860,164209
496,3319783,168009
496,4638155,260115
496,2792154,176910
595,3970419,230412
595,4451945,197211
595,5065179,289116
595,2453635,130408
595,3724005,215012
595,5049478,290116
595,4425944,164609
595,4987875,283615
595,2842556,174110
595,4727060,254714
694,4032823,161009
694,5049679,286315
694,3059669,169310
694,3220478,192211
694,2836856,142708
694,5259590,295316
694,3873413,178510
694,3620700,209211
694,2953263,172509
694,5411198,366321
793,3272880,177809
793,5009877,308617
793,3033867,180810
793,3273780,184110
793,4299137,134007
793,3382487,164409
793,2726350,157709
793,2241324,127007
793,5016477,282715
793,5135783,291416
892,3071470,181910
892,3107871,163709
892,3815711,181910
892,2504738,214512
892,5229689,291716
892,4265135,266915
892,5061479,292916
892,3054069,182110
892,3011766,161309
892,3758708,213911
991,5130083,294616
991,2962764,171409
991,3627600,163109
991,4003521,220112
991,3366686,181610
991,4042723,225512
991,4376342,167009
991,2866658,173410
991,3583998,175209
991,3109172,185610
