Pallet: "pallet-staking", Extrinsic: "set_controller", Lowest values: [], Highest values: [], Steps: [10], Repeat: 10
u,extrinsic_time,storage_root_time
0,309117,176009
0,279715,181210
0,273214,184210
0,281616,183610
0,264114,184610
0,322917,185610
0,218512,143308
0,200911,141408
0,175109,108306
0,268414,179209
100,268715,178609
100,266414,178710
100,280715,183610
100,239613,154908
100,232713,147108
100,220012,127207
100,227113,151608
100,184610,120607
100,280415,191511
100,252314,172209
200,281715,186611
200,281315,183510
200,235712,199211
200,281615,187811
200,285716,185510
200,222012,164709
200,288616,188310
200,281515,185210
200,275215,183710
200,282415,175410
300,244214,181910
300,194110,128907
300,263214,188311
300,245314,176109
300,320318,199410
300,166510,115306
300,273615,198411
300,184510,125007
300,338518,201411
300,188510,129807
400,289715,198011
400,186610,124507
400,188910,125007
400,280915,196011
400,281516,197611
400,184910,123707
400,280315,197311
400,189410,127307
400,286116,194711
400,225512,157009
500,200211,137208
500,283716,198110
500,212012,149408
500,172310,119406
500,172810,118106
500,210712,118506
500,315818,151908
500,262914,187211
500,181210,123606
500,228913,159608
600,284616,200410
600,279315,199511
600,277415,197911
600,230813,161309
600,199410,139808
600,280715,154509
600,323618,198511
600,214912,149308
600,253114,234713
600,177309,123106
700,236213,156809
700,198011,162609
700,183810,157009
700,292316,116606
700,221712,147708
700,6269842,121107
700,299717,177309
700,230613,152008
700,280715,189210
700,260715,172309
800,284016,171309
800,233613,170209
800,271114,180309
800,332719,186910
800,194511,130307
800,253714,165809
800,208412,140608
800,281815,189010
800,279715,185810
800,282115,195211
900,275815,187011
900,194311,132507
900,261715,189010
900,230713,161008
900,273615,158108
900,243613,168909
900,170910,118106
900,229412,166409
900,240214,180210
900,248913,210612
1000,184510,134908
1000,320718,196011
1000,240713,168109
1000,285715,201111
1000,284716,199911
1000,177010,120106
1000,167309,118507
1000,275215,196911
1000,296817,194210
1000,231113,162609
