Pallet: "pallet-staking", Extrinsic: "set_validator_count", Lowest values: [], Highest values: [], Steps: [10], Repeat: 10
c,extrinsic_time,storage_root_time
0,28602,378920
0,22001,252514
0,29801,152809
0,25702,168309
0,30202,404122
0,29802,324218
0,30002,423123
0,29102,426823
0,30002,152508
0,25401,123307
100,24401,111906
100,30902,426924
100,23502,101005
100,24302,102005
100,29001,319918
100,30202,155608
100,29302,372620
100,29102,378120
100,29601,385821
100,23601,535829
200,24801,119607
200,21801,253514
200,29702,147308
200,22902,315717
200,23101,309517
200,26202,275815
200,29602,148608
200,22101,338519
200,29602,390221
200,23102,100505
300,21701,90105
300,30102,386921
300,23002,358319
300,29702,376020
300,25801,363920
300,30301,392622
300,24701,114106
300,66403,159909
300,30601,325018
300,30002,386521
400,25002,372920
400,28502,282315
400,28202,362620
400,26401,129507
400,29702,275615
400,28401,417823
400,29402,147808
400,24101,107906
400,27501,335819
400,29802,148108
500,21002,335618
500,28501,139908
500,29801,415223
500,23902,360319
500,29801,152408
500,30202,149708
500,28402,361920
500,29102,278615
500,28302,380621
500,22801,231313
600,27402,136907
600,29702,154008
600,22702,353819
600,22201,249014
600,28801,152509
600,27101,293416
600,25701,304017
600,22801,106906
600,22901,282516
600,25502,110006
700,57303,119207
700,25602,116406
700,26302,127507
700,23002,245313
700,30001,156508
700,27702,138107
700,30601,402022
700,23301,109105
700,27202,133307
700,24801,367621
800,31101,161409
800,29302,279815
800,31702,287716
800,31502,284315
800,23102,107706
800,22201,103806
800,28802,372520
800,24101,111706
800,23601,378621
800,25501,123707
900,29502,156308
900,27602,333518
900,29901,159908
900,23501,408623
900,26301,119307
900,28502,145808
900,22901,119406
900,30202,216012
900,25501,126107
900,30001,158008
1000,29302,312317
1000,23301,110506
1000,24702,114306
1000,25001,256714
1000,30302,268015
1000,29502,402622
1000,30902,157309
1000,30102,394421
1000,23802,322017
1000,29502,430724
