Pallet: "pallet-vesting", Extrinsic: "vest_other_not_locked", Lowest values: [], Highest values: [], Steps: [10], Repeat: 10
l,extrinsic_time,storage_root_time
0,13765176,4994081
0,13959987,4741068
0,12534506,4369947
0,10998920,4213737
0,9941961,4035027
0,8637887,4601760
0,8985907,4673563
0,12121683,4925878
0,10419588,5021083
0,11153928,4052329
2,11269935,4148234
2,10799208,4726767
2,9945261,4474152
2,14375511,5336400
2,12005777,4776269
2,11422644,4984981
2,12194388,4987281
2,12154885,4852674
2,11463946,5353102
2,13801178,5392004
4,11035022,6272153
4,11906071,5248996
4,13349252,4915977
4,11197332,5466508
4,13842481,4587358
4,11636556,4900176
4,11540650,4864974
4,10297681,4987881
4,12326594,4706165
4,14086894,5274097
6,11362940,4626061
6,11977575,5097187
6,13999489,4736767
6,10395386,4604959
6,10880914,4899876
6,10252678,4703065
6,10130571,5206494
6,10036066,4630161
6,10621799,5292098
6,12040479,5149490
8,9828153,4574858
8,12553607,4811571
8,11128127,5134290
8,11995576,5063785
8,9927460,4250039
8,10346583,4968480
8,10081568,5295298
8,10005764,4990681
8,9296424,5162991
8,11792065,5097787
10,8936703,4893876
10,9975362,5594715
10,10148772,5000081
10,10405686,5128889
10,10296380,4632661
10,11101525,6305356
10,11560451,4942479
10,11385542,4438950
10,9915859,4827572
10,13786976,5005182
12,10195075,4564557
12,10012164,4600159
12,13645469,4812871
12,10815309,5306899
12,10618398,5004682
12,12149385,4870274
12,10849011,5460707
12,12721717,5266096
12,13728774,4844073
12,11583252,5050284
14,13090337,5076986
14,10709703,4805271
14,10286479,5271197
14,13501261,4562957
14,10694902,5239395
14,9972062,3849817
14,11197331,5839529
14,11066223,4535255
14,14174599,4893075
14,12852524,4886576
16,10632299,4159535
16,10275878,5072785
16,11425444,7078698
16,9437231,4383447
16,9615342,4542955
16,10745505,5607716
16,11675258,4974480
16,10222675,4250339
16,10241877,4722366
16,14102994,5070986
18,11820265,4434550
18,13705872,4926577
18,16065504,5331101
18,11316538,4815671
18,11984975,4569058
18,14918540,5257496
18,11119926,6033439
18,12953129,4809970
18,11405442,5059185
18,12855224,5592015
20,13792277,5139789
20,10555794,4910376
20,9574639,4883875
20,18842160,5594415
20,11398942,5882331
20,10888413,5259996
20,9928459,4721566
20,12079480,4143634
20,13263947,4847673
20,9420131,4174435
